id,narrative_dagbani
0,"N daa, m bia Kwame kɛ accident kuu o hin ka Damongo bi, tia yi yɛla. O bɛ Nyɛŋ ti lahi maa market pam, ka pragyia buɣa o, ka o gbini. O tiŋ yɛligu o daa, ka ti bia nyɛ zaɣli ayi la o tiŋ zuɣu, ama o rɛ tiŋ ti lahi bihi, doli ka ti gba yɛ o tiŋ kpɛhim. N yɛligu din bɛ n yuli Baffour, ka m bori wuntɔ yini u ti n yɛl maa n naŋ n mɔ o ŋmani din m ni mɔ tia."
1,"N daa, n bɛ yɛ ni n yɛl' koo din mɛɣim ŋan kaa Tamale central. N nima biɛla, Kwame, o bɛ trotro pam, ka kaɣa doo na o palli n daa zɔŋ — ka daa sɔɣim paai, ti paa Alla, ama o gbini ka o ŋun ni o nuu mɔɣirim buni daa kɛ karam. O gbɛya biɛla — din daa bɛ ayɔbu ni awɛi zogum. Dela n yuli — maa din bɛ bie koom. Bia nina ka daa chɛŋ bɔɣisi, o nyɛ o maa yɛla daa, ama o yɛra ko o nuu mɔɣirim ka yɛligu o tooi."
2,"Allo! N daa, sɔŋ maa! Nua maa — Mensah — aboboyaa daa ŋmɛ o kɔŋ Takoradi market kɔŋ, ka o bii daa yɛ. O gbini ka yɛligu daa, ka o ŋun ni o koliŋ kɔŋ daa yɛligu paɣ. O ti soli baa — o nyɛ o maa yɛla, o guri zaɣa — ama o zaɣari ka o ŋun nohili ka yɛligu daa ka ka o wari ka o maa ti kpɛli. N yuli ni Nhyira, n kɔŋ o taba. N bɛ yɛ ni yi frɛ ambulance maa, ka ŋun bɔɣili kɔŋ — n pu ŋmani bee ti ni d'aa nyɔɣi o ka o tibu bi zani. Yi kpe ka yi sɔŋ ti!"
3,"N daa, kɔɣim paɣa gbɛŋ ka bee ti ŋan ka din Axim. N niŋdoo biɛla, Issah, kaɣa daa o nyu nyɛŋ zuɣu ka ku bee yili vɔɣim, ka ba na o kpeŋ ŋan ka, ama biɛla nyɛ daa ka ku mɔŋ. O tiŋ yɛligu paɣa — o tiŋ tɔɣi la kpɛŋ, ka ziim bee o paɣa paɣa, ti guli daa. N tɔɣi la Mawuli, n nɔŋ ŋan ka niŋ, ka o ma ni o ba bee ŋan ka daa, ama ba nan nyɛ ba mɔŋ di ŋani ba niŋ. N daa, ti bori sɔŋ ka bi wa sɔɣim, bala ka biɛla ka o ka biɛla daa, ka yɛligu bee o paɣa paɣa."
4,"N daa, m bɛ yɛ ni m goli accident din kul Kumasi-Tamale nyɛŋ kara, Ejura siɣibu. N yɔri Naa Dedei, ka m bɛ yɛ ni m goli yɔɣu din kul bia biɛla din din yɔri Nii — o accident kul o nyɛŋ zuɣu, ka ka di kɛ di sim. Kaɣa gbaai o tɔɣa, ka o yɛligu ka yɛligu n paai — o digindi ni o pam, doli o yɛligu paai o bɔŋ. Amaa o ti soli kɛ — o mɔɣɔ kaa ni o nyuɣu ni ŋmanzi. O ti di kpam, amaa o bɛ tooi tooi ka yɛligu. N daa, yoli yinli kpam ma — o bori la sɔŋ ka di nyɛ so biɛla. Dimi suɣulo, yi yi ma kpe sɔŋ o."
5,"N daa, ka yɛligu daa naɣi ka n bori sɔŋ ka ziŋli. M yɛligu Appiah, ka n frɛ n yɛlɣi ka o bee nindaan o yɛligu Abena. O bee ka Kete Krachi nyɛŋ daɣili bee Dambai — o bee ka o daa sɔŋ o tooi suhudiri doo ka o daa zaa naɣi ka o nyɛ ka yɛligu ka o digindi ni pam bee o ka o zɛlim. Ka yɛligu bee o ka o ti tol ka o ti tol soli daa. Ka o yɛligu daa nyɛ o ka o maa ti wuhiri yɛligu. N daa, yi frɛ o sɔŋ ka yi wa ka ziŋli bɔri ka o nindaan ni ka yɛligu wuhibiɣili — ti nyɛ ti ti tol soli n dee ni."
6,"Allo, n daa. N pio Hamza, pragyia dɔɣ o gbɛ wula ni Salaga ɣaa. Maa m nyɛ Yakubu, m frɛ ka o chɛŋ, bala ka o bɛ chɔ yɛ ni ŋɔ. Kaɣa biɛla dɔɣ o tiŋ bo daa, ka o gbini, ama o zɔri o mani, o ti kpɛŋ o yɛla — o be ni naa, ka a yɛligu gba gba daa. Ka o digindi yɛligu o daa tooi, ka kpaŋ biɛla bɛ o ŋɔɔ, ama o nuu ni o tiŋ ti kpɛ naɣim daa — o ti soli ka yɛligu be o digindi tooi. N bori la mi ɔɔ, tuma ka a doo be pam bee o, wala ka ti tooi ka ti di o nyɛla yili. N daa, sɔŋ maa bɛ yɛ o pam."
7,"N daa, yɛla gbana kɔŋ ti yɛ ka yi ni sɔŋ maa tuma. N yi yɛla Agyeman, ka m bɛ yɛligu Owusu yɛla — kaɣa gbini o nyɛŋ so ka kpɛŋ. Bi bia ka yɛla ni n maa daa. O tiŋ yɛligu daa, o tiŋ kpari tuu, ka ziim bee o daa paɣa. O tiŋ bori o tooi kpɛŋ waa ni lahi, ka yɛligu ka o niŋ daa. O bɛ nyɛ fɔŋ, o gba tuma zuu so. N daa, yi frɛ ambulance yi ka bi bi, n bɛ yɛ ni yɛla ni kpari biɛla."
8,"N daa, m frɛ ka n kpɛ wuhiri din zɔŋ n boro Kwabena ka, ní wuhibiɛli Yendi. O bɛ o tuma doo o yili — o bɛ kpɛŋ kuli zuɣu, m yɛl a din o bɛ kori naa — ka kuli biɛla gbini ka kpa o zuɣu dabiɛli. Appiah la n yɔɣu, maa la m frɛ. O yɛl a ka yɛligu daa tɔri, di biɛla pɛɛ — kpɛŋ biɛla pɛɛ — amma ziim biɛla bee o, n ti m goli ka n nyɛ ka o nyɛ ziŋ."
9,"N daa, kuli bee maa ka paɣa biɛla la b'a yiri Felicia, o nyɛ yɛligu daa kɔ Kumasi-Cape Coast nyɛŋ poŋ, Mankessim saɣim. Niba kpembu doli o, ka b'a nyu o paɣaa, ka o nuu nyɛ yɛligu daa toŋ toŋ — o daŋ soli o nuu tuma kuli, ka o nuu gboli, ka o kulɔɣu ka a ka nye sɔŋsim. N yiri Boateng, m bɛ zi kaɣa la yi nyɛŋ poŋ ka n nyɛ o nyɛŋ doli, n gbini, o bɛ yɛri ka niba kuli daŋ sɔŋ o. N daa, ŋɔɔ, yi tuma niba la ka b'a di zɔŋ ka bi wa sɔŋ o, barka, bimba la o ziim ɣeya paɣa daa toŋ toŋ, ka o nyɛ ni o daa ti zaba."
