id,asr_transcript
0,mɛpa wo kyɛ wo mɛba kwame hyɛ aksidɛnte wo damɔngo ha ne wiɛ yi ɔrekɔtwa ɔkwan no ho faakoa a ebɛn market no na pirɛgyee bi bɔ no na ɔtuu fam ne nan no yɛ no yawo na yɛhunu no kuti ne skrakyes bi wo so nanso ɔtumi sesa no kakra enti yɛnyɛ disɛ bubu me din dɛ bafo na mepɛ sɛ obikyerɛ me asɛm a mahunu no bi fa ho sɛ dɛn na menyɛ mano seesei
2,meniabarima mensa abobɔyaa bi bɔ no kɛse fatakorɛ dii market area hɔ nyɛ te saa bikɛ no bɔ na ɔtuu fam papa na ne tiri ne ne kɔn ho hyɛ no yaw wɔ saa fasaa faɔ no mu ɔnim ne ho na ɔreka asɛm nanso ɔreka se ne kɔn yɛ ne yɛw kɛse na ne tiri fa bi ho asu me ne nhyira meka ne ho seesei ara yɛhiaa obi a ɔbɛba mmoa yɛn ɛfiri sɛ yɛnim sɛ yɛn sɛyɛn sɛmuvi no anaa dade
4,mɛpa wo kyɛ wo mepɛ sɛ mebɔ repot fa aksidɛnte bi hɔ a ɛbaa kuma si tamal kwan so bɛbiara a ɛbɛne ɛdwura medin dɛ naa dedee yi na mereferɛ faa aberante bi hɔ wɔferɛnii a ɔhyɛ rod aksidɛnte mu aksidɛnt no yɛ no fɛfɛ ara ne ɛyɛ sekare bi bɔ no na ɛhuruu ne yie ne buruane neyɛfunu na ɛyɛ no yɛwo pa ara nanso ɔda hɔ na ɔtenkɔ mu ɔnhawo koraa ɔnyɛ ɔkae koraa nanso ɔdahɔ rematendin mɛpa wokyɛ wo obi mmara mmoano firi sɛ hiahelp ntɛmara
5,mɛpa wo kyɛ wo biribitwa ase papa na mehia mmoara ntam ara me din dɛ apae a na merɛferɛ faa ɔpanyin bi hɔ wɔfrɛ no abɛn a ɔreyɛ adwuma biaa a ɛbɛn katɛkirakyi kwan no ho kɔsedambaeɛ ɔretu nnwuma dɛndɛn no mu ɔsoa a desoa dɛndɛn na biribi kɔ fe wo na wɔhawo no papa wɔ ne buburuwa ne buluwa ne yafunu mu ɛyɛ ne yɛwo pa a na ɔntumi nyina yie ndwuri no yɛ hu papa mmɛpa wo kyɛ wo yɛnhia obi a ɔbɛba ntam ara ɛfiri sɛ ɔyɛ opanyin na asɛm yi yɛ dɛn pa a maa yɛn a yɛwɔ ha yɛntumi nkɔ so ankasa
7,mepa awo kyɛwo biribi kɛse bi aba ha wɔ asɛmntural na meɛhia mmoa ntɛm ara me din dɛ agyema no na mereka ho asɛm ɛfa aberante bi a wɔfrɛ no owusu kare bi bɔ no wɔ ɔkwan so saa bebre yi ara aberante no ho nye koraa nananho bapaa ɛte sefratere kɛse bi na mogya retu para ɔntumi nnante anaa sisi ne nan koraa na ɛye ne yaw bebree ɔda fam ho bɛyɛ dɛn bia
9,mepa wo kyɛ wo biribi bɔne pa a asesi saa abofra baabi a wɔfrɛ no felistia no so wɔkuma sikapɛ koas ɔkwan no so mankasim ho mmarima bi dwuruu no wɔbɔ no pa a na ne nsa ho tee saaa ɔntumi nyi no koraa na no ahobɔwo na edan bɔne bɔne so medɛ meyɛ boɔ aten merebɛ mekarimu na meahu no ɔkwan akyiri so na obiara remboa no mepa wokyɛ wo mo ntenam ho mommama obi mmara a ntɛm pa ara ɛfiri sɛ abofra no retu mogya bebree na ɛte sɛ ɔbɛkola pusi ara
10,me din dɛ asaɛrɛ mereferɛ sɛ mebɛka biribi a ɛsii elinam ho ɔreduadua dwolof wɔ ne folatmu ha adɛnta piresuro a ɛwɔ pot no mu maa lid no pue fitaa fitaa na stiem na nsuo hyɛ a ɛwɔ mu hahaa too ne nsamu ne forem no so ngogɔte reba nanim wɔ hɔ na ɛyɛ no yɛw pa a ɔte hɔ na ɔreka asɛm nanso buru no yɛduru na ɔsee yɛne yɛwo daa ɛrekɔ so sene yɛhia nimdee sɛ yɛbɛyɛ denama no seesei ara
11,mebakɔdwoɔ nya ɔwieɛwo ɛna a afei wɔ ha ɛsenifosu berɛ a ɔreboa wɔ karpentiri hyop no mu duɛ bi tuu hwɛ fam kɔ ne nsa so kɔ taa no kakra enti mogya retu no kakara nanso ɔtumi kɛka ne nsa yi ara mene kɔsi mene agya yɛahoroo ama no yie na yɛato ntam ahyɛ hɔ nanso meretwe me ho aba reka ama mo se ɛfiri sɛ ɔyɛ abɔfra kɛtewa na menim a yɛhia dɛ no baabi anaa deɛ a
13,mɛpa wo kyɛwo mepɛ se meka biribi a ɛsii ha wɔ dambae mehohoo ba fatima wɔ a taksi bi bɔ no wɔ ɛkwan so asidɛnt katiwa na abɔfra no hwɛɛ me din dɛ edɛm me ne ɔkwan a mɛfrɛ no ɔwɔ kut wo ne nan so nana nenan no ho ho bi wɔ hɔ nanso ɔnan te wo kakra enti yɛnhunu no se yɛrkɛse pa a yɛpɛ se yɛdi ho yie na wɔhwɛ no yie
15,me din dɛ ɛkɔfi na mereferɛ sɛ merekyerɛ wɔ asɛm bi a ɛsii menuabarima asare hɔ wɔ yɛn fie hakape koas mmarima bi bae na wɔhyɛ ase kasa teaa no na obi dɛ nsa bubui no tiri so wɔatwitwa no kɔkɔkɔ kakraa wɔ hɔ na ne kɔ no nso yɛ no yɛw kakraa nanso ɔte hɔ na ɔrekasa nye dɛn pa a nanso mepɛ sɛ obi nim asɛm no
