id,roundtrip_en
0,"Please, let's ask Kwame's mind has remained in charge of Damongo's health. They won't have a conference because of the fluctuation of the small intestines, premixia called for it, and all its protection. His men will not be able to get rid of it, and the bacterias who are aware of it don't have faith in him, will not be able to do it. After all the time, I have been able to see if you live in his country?"
2,"Instead, please contact me with Mensah, a refugee bus, and a Takorad marker are there, palm wine and water. Motor doesn't buy that country, respect all of us, and both hands and feet. Then you know with your brother, but you can just ask for it. I like Nhyira, and I thank you for it but you are always warm, I am always warming up to the point when it can't make you feel better."
4,"Please, ask for a passport accident. She has Kumasi-Tmale road, someone close to her jewelry. My son, Lea Dedei, I was free to ask for accident and robo, and she is lying in it. Don't ask me to work, and I can't be ashamed and crazy but there's a lot of money  her mother's back home. If you don't know, you don't care, so your business path. Almighty and irony small, you say to me. Please, ask for your child to come and stay in touch with you. Fin 2022, chale!"
5,"Please, if you donâ€TMt come down, I need it to you. I wouldn't wash your hands to our Abena, the mother of a man, but we sit on a meeting Kete Krachi, and leave all the leaves of our heads. It's just a palm tree that we looked all around, and you were created with a stone  it's old and grown up. It's you guys right, your business is on your way. Chale, injury, asks for every serious  man who in turn is in need of a lot of people. Please, sadly wait for us  on a gun mask where it's about you."
7,"Please, all my current salary has been worked hard, they have acquired a healthy candidate. Medin called Agyeman, and they played all over the young oung man's child, letâ€TMsu  don't try any other pit, his or her teeth are dry. Then you can laugh at your chalk, pick up your bed, and keep your dream full of your grocer ork like fracture, and wait for it to be prepared. His mother is tired, his mother sits around you, and men don't have it all around. Please, because of their limited security, we don't know what is wrong."
9,"Please, if you donâ€TMt have anyone with your child  we wouldn't wash your hands with the Kumasi-Cape Coast road, all of Mankesim. Please, let's go, we're just a little, the blood of both people, the blood of my mother who has bitn't wait for you, the mother's say to you, that's what we are going to do with our neighbours. I've eaten Bateng, and I don't try to meet us, and we won't feel like this. Please, because my father is a great leader, how long he or she spends her life, and what's wrong with his faith."
10,Asare                                                   . . . . . . . . .                                               .                                                                      ? ? ? ?
11,"Finally, today. If you donâ€TMt ask for a pardon, it's not long to wash your hands, and we've got fat. His vice versa but Assin Fosu is known to us. Asshanti, the old lady was asked to go and just pick up her child, and what kind of stranger we are going to do. For this reason, in case of a bad game, the white child was. I ask for Kwasi for it. Just like that, today I live up to the hospital in front of us. Please, how is it happening at the airport?"
13,"Please, let's take a look at how it depicts us, let's take a look at your breasts, Fatima  OA Taxi's huge pit we've got to meet  acident no simll small, this is a very good thing. People who are idle, those who are not alone. He asked us to wash our hands, and until we die, now you mean to have a small small small scale  his mother can't pay back. On the back and on the chest, we wouldn't know our hospital."
15,"Instead, my name is in Kofi. My wife's parents have leaves but I am forever in Asare  you have man's throat. But even forever, he arrived in Cape Coast, where he was home to you. Boys asked for a seat, Asare right, what his dream was. Those who, Mr. asked him to leave, ask the men we take for a test, don't know our male children. Then, you know, you are in danger. Heye serios, chale, and I am going to leave your own house."
16,"Please, I call all pepper to have a son, Kwabena, or a Cape Coast-Elmina road. She is full of rice and sell a hotid  I call the child and the head of the house to his or her country, because of this kente which is boring, and it is not good for me to know. I have never asked for a meeting. I have a meeting there to have a meeting. Then, I have something to say, I have something to do with your child. In the old age of old age, you always want to leave your father with life."
18,"Please, please do you see me. And we have a lot of land Selorm, you take blood on it and it is in Nhyiaso that Nhyiaso. You have a smiley face, you take all the courage to lose our skin. I'm wearing it, and on the floor of pepper. Let's go down and be lost but men who are also able to set it up, there is a fire to fire. Chale, I don't like you. At the same time, there is a mother who isn't there anymore, there are children that you can fight?"
19,"Please, something happens here to Bantama this afternoon. Neighbor me came, Issah  one of the other food all and kerosene stove no flare up naturally, and heat no clean one with a pipe but a river. His mother shorios exact, red and okye, and  o o ka ka ka ka ka sa sa sa fine. Kweku, I don't have and it on and here happens. Onipa's child doesn't have a check on, kakra, because we can't get our mother to get treatment?"
22,"Now, let's go through the Cape Coast-Elmina road so, my mother has turned it. I don't see Adwoo who has a motorcycle  all the leaves of your stomach to remind us of it. Those who cut your legs, and just what you are beautiful to me  take good care of your father. I'm the prince, I'm the one who called for the meeting. I'm all the things that happened to you, boys, play your chest."
23,"Please, let me think very bad garden look like you to be a Tamale, we family comeo. I heard Boateng, donâ€TMt come back to that match, see if there are any interesting things that happened to us  the old man who was familiar with the menarche said, and let's know how to put it into a trap. Then, many young people, see if men see it when it comes to whether it is the children and that. I am in Hamza, and I have a smile on it Please, because of the need for help for breast milk, so that you can't get it."
24,"Soyday very bad for Asokaku, Kumasi  man asked us to wash our hands, wash your hands regularly, and wash our places thoroughly. Because of the drought, if we just get hungry, let us die of very little salt.  chale, something we drink again and again in our town. I won't wash my hands, my feet are always in the country, and my business well . Please, it is very important for everyone to do, even forever it means very much."
25,"I like I am going to see Isoah, Lenthikes, visit accident but it is very small. A man asked ""Adwoa"" to attend a bus stop, see all your doctor. Ask for a seriosto o, but that's what you have asked the men, see the cut kkra child. You always die on kkra, but you have a ed serving as little as possible."
27,"Please, something happens and many other-in-law people leave Adum, Kumasi. Kwabena buys a hole you take a slip nearby step filled with all your breasts around. This man, so in our country too, is very good. You don't know how to wash your hands with a dry skirt. There is a waiting corner which has a cool throat in your stomach. The following days, people with a smile-in-law, which helps your heart to grow, and the oonfuse cement. Due to the need for a person to come back, because you don't always want to leave this country."
28,"I like that of Ofori, my freedom but Nwongway, Kasoa. Man and woman, Yaw I mean a meeting of your own. You are old, and all your males, I mean. If you know small, you can't know it, and you can't help a body. You can't go through it, you don't think of it."
32,"Please, something bad has happened and has a sound yes Dichemso. Boys say that attack Owusu, a man asked us to leave a nearby circle  we have the same name and the back of the mouth. There are Amoah, people with no roads, and our neighbours. There are no fences next door to each other, the one he or she knows and the one who is not good. It's not easy, it doesn't make you laugh  there's no man. You know me!"
33,"Chale, Araba, I write, an accident judge expressing his opinion about dzeng  Kumasi-Temale meeting dzi, whose jewelry is high. Also don't try to ask for a specific exam, it allows for men to leave hands and men to leave without permission. As soon as possible, the iron will not give you any salt, and the size of the face is hot. Please, it is important for you to look at it at it properly."
37,"Please, please check me  forever I'm Abena, OA Taxi buri no jest outside at family house but le Navergo. Then, let's go around sixteen years. Try not to die  die no male kakra, what cut asks him  how he is doing, his business path, I'm not going to go. I'm in Araba, I'm throwing it out. Please, it's only after you what we should do for now."
