id,narrative_ga
0,"Ofainɛ, dɛbi bi Kwame — accident ehi eŋ Damongo afɛɛ yanɔ. Ɔhɛ kpee ni le market kɔŋ ashi, pragyia bi ebo eŋ, ebumo fɛɛ. Gboo ehii eŋ baŋ, miihu cuts ni scratches ni le gboo eŋ ashi — ŋmɛɛ, ɔtumi move gboo eŋ kakra, yɛ naahɛ ŋ fracture o. Baffour — yɛɛ mi ŋmɛ baŋ. Chale, mibɔ oniŋ ni boa mi — hɛ mido hiɔ eŋ ashi ni?"
1,"Ofainɛ, mɛ pɛ shɛ mɛ bɔ report bii shi nɔ happen ni Tamale Central. Emi agbo dɛbi, Kwame, ono le trotro mu — kaa bii fɛɛ ni le nɔŋ tsɔɔ ŋ from the side — enye too serious o, Nyɔŋmɔ shukru, kɛ wɔ obumo shi kpee nɔŋ, ɔnɛk kɛ ŋmɛi fɛɛ ni hit ground. Oblɛ bii — maybe around seventeen so. Dela yɛ mi din — mɛɛ ni frɛ shɛ. Dɛbi nɔŋ chɔkɔ sɔ adɛɛ, oni le, kɛ ɔtɛ shɛ ɔnɛk ehii ŋ small."
2,"Hɛloo, ofainɛ boa mi — ɔba mi Mensah, aboboyaa bumo no kɛ Takoradi market area ni, tɛŋ kɛ yɛ. Motor no bumo no maŋ, obumo wɔ fɛɛ, kɛ ŋmɛi kɛ ŋmɛi fɛ naa area no hii no wɔ fall no mu. Oni le kɛ okan, nye ŋmɛi fɛ kpee no hii no hɛɛ fɛɛ, kɛ swelling bi wɔ ŋmɛi naa shishi. Miinɛ Nhyira, mi wɔ kɛ no sɔɔ yɛ — mɛhe mɔ bi mli shi boa mii, biiŋ yɛmiŋ shiŋ tɔɔ no ba kɛ enyɛ haŋ mɔ ni yɛ naŋ bɔ no yaŋ."
3,"Ofainɛ, something very serious ahappen yɛ ha Axim. Me neighbor ŋ bi, Issah, kaa bumo no kpee ni hɔ close fɛɛ house, na wɔ baa no akɛ ha — ɛbaa dɛbi no wɔ sane o. Ŋ gboo hii no kɛkɛ — enɔ fracture ni shwe etsotso no koraa, yɛ suro. Mɛ yɛ Mawuli, midzɔ ha nearby, na ŋ papa na ŋ maame wɔ ha ɛbaa yɛ sane wɔ nyɛ nɛ nii o. Ofainɛ, yɛ hiɛ bo ni bi ba faa wɔ fast because dɛbi no oblɛ fɛɛ ni ŋ gboo ehii no kɛkɛ. Frɛ ambulance — boa mi!"
4,"Ofainɛ, mebi report accident bi eyɛ Kumasi-Tamale road, somewhere near Ejura. Mi din bi Naa Dedei, mifre aba nɔŋ Nii — oblɛ bi obumo accident kɛ road no mli, ni ehii te. Kaa bi etsu mi ni, enyɛ ehii mi kɛ gbɔɔ kɛ shi areas too — enyɛ bad paa. Kɛɛ oni le, orenya response, so enimɔ gbɛ o. Ofe kɛ struggle small, kɛɛ oremanage. Ofainɛ, nɔŋ bi obi eba boa mi haaa — ni ehi attention fast fast. Frɛ ambulance, chale, akpee!"
5,"Ofainɛ, something serious aba shi, mi hia bo mli kɛ nowɔ. Mitsɔ Appiah, mi frɛ frɛ shikpɔŋ biaa wɔ Abena, gbɔmɔ nyɛ, shi wɔ akɔ nɔ kpee Kete Krachi, ni shi ko Dambai fɛɛ. Oshɔ load kɛkɛ wɔ ejiɛ work fɛ, ni abɔ o kɛ tɛtɛ — gbɔɔ ni shi — ehii o kɛ daadaa. O hii pɛpɛɛpɛ, enimɔ move gbɛ. Chale, injury bi yɛ fɛɛ serious — gbɔmɔ nyɛ ni yɛ no too — mɛmɛ le hia ofainɛ. Ofainɛ, frɛ ambulance shi ba nowɔ — yɛ tumi handle no heni yɛ bɔ o."
6,"Hɛloo, ofainɛ boa mi. Ɔjogbaŋŋ mi Hamza, pragyia bi kpee ni ŋ afɛɔ yɛ Salaga. Mii nyɛ Yakubu — mii frɛ ni shi ŋ ji, afi ebu shi ehii ni ŋ nɔ akɔɔ nɔ. Kaa — pragyia bi, ehii Hamza ni ŋ gbɔɔ fɛɛ, ebumo, kɛ otsoo ni ŋ kɔɔ bɔɔ — ɔmii ŋmɛi eni bo o. Shi enyɛ naagbe o, ni ji nɔ, gbɔɔ fɛɛ ehii ni ŋ kakra, kɛ bruise kakra wɔ hɛɛ — kɛ ni mli kɔi fracture bi anaa something like that o. Nyɛ wɔ nɔ le. Chale, wɔ pɛ shia nɔŋ. Wɔ bi nyɛ Hamza le kɛ o — kɛ wɔ pɛ nyɛ mɔ ni wɔ yaŋŋ ni ŋ shia hospital bi, anaa ni wɔ du hɛɛ nɔ. Bɔ wɔ ni mɔ ni wɔ nyɛ?"
7,"Ofainɛ, something serious abɛ happen fɛɛ Wa Central nii, mɛhɛ help urgently. Me din dɔ Agyeman, nɛ mehɛ call yɛɛ young man bi, wɔn frɛ no Owusu — kaa bumo no kpee fɛɛ, enyo short time adɔɔ. Oblɛ no enimɔ nyɛ adɔɔ o chale, ono gboo ehii no paaa — enimɔ look like fracture fɛɛ, nɛ shwe etsotso paaa. Enyɛ taa gbɔɔ o, enyɛ taa move gboo no o, nɛ ni hii no paaa — oshie fɛɛ kpee so pɛɛ. Ofainɛ, yɛhɛ ambulance ni bɛ jɛkɛ ko fast fast, eha situation no gbaa woko."
8,"Ofainɛ, mifɛɛ frɛ shɛ mi hɛ yɛ bɔɔ ko nɔŋ mi nuŋ Kwabena kɛ Yendi. Oshi oshwa oshi kɛ fie — oshi gbaa bii ko kɛ atifi mi mɔ — nɔ ko bii naa bumo ehii ŋmɛi ashi. Appiah na mi din, mi na onimɛ frɛ. Oshi bɔ ni hii kɛɛ ko lɛ, cut kakra bo, ŋmɛi ashi, engbɛɛ shwe tsotso kakra, yɛ bɛ jɛ frɛ shɛ ni nyɛ kɛ kpɔɔ lɛ gbi lɛ oyɛ."
9,"Ofainɛ, something very bad ehi Felicia — oblɛ bi — wɔ Kumasi-Cape Coast road la, Mankessim fɛɛ. Nnɔɔ bi bɔɔ ŋ wɔ shɛ, wɔ blɛɛ ŋ kɛkɛ, nɔ gbɔ la enyɔ fɛɛ — enyɛ nmi move ŋ bi o, enɔŋ ebo nyɛ, nɔ kpoo wɔ mɛi mɔkɔ. Mɛ nye Boateng — meloo kaa wɔ kpee la, mhui ŋ wɔ kpee fɛfɛ, enyeli, ŋmɛ bi hɛ bo ŋ o. Ofainɛ, ɛi mi nɔɔ, mi mitsɛ onukpa bi fast waa, bɔ dɛbi la shwe etsotso bebii, ni nɔɔ enyeli kɛ efaint."
10,"Hɛloo, miiŋ nyɛ Asare — mifɛɛ report bii shi oblɛ baa dzɛɛ Elinam. Oni le, oshɛ noko, nɔ wɔ jollof kokoko kɔ flaatɛ ŋ ni le Adenta. Pressure ni le pot ŋ nu shi — lid bumo bumo kɛkɛ, steam kɛ nishɛ ekpoo ebumo gbɔ ŋ mli ni le forearm. Skin dzɛɛ le ŋ kɛ ni color nyɛ red, kɛ blisters dan shɔŋ ko le ŋ. Ehii ni hii — hii fɛɛ. Oni le, oshɛ noko, nɔ kɛ mɛ oshi, nɔ wɔ ni hii ehii ni fɛɛ kɛ eboro boro. Chale, burn ni dɔɔ fɛɛ — ni serious. Kɛ bi mɛ, mɛ hɛ mɛ ni wiɛ dzɛɛ mɛ ni sɛ ofainɛ nɔɔ bo Elinam hi la — mi ni hiɔ mɛ wala nɔ?"
11,"Hɛloo, chale. Me biɔ Kojo, ɔbumo ŋ ni wɔ afɔ. Ebumo ni ŋ hɛ carpentry shop shi le Assin Fosu. Nɔ wɔɔ, wood kɛlɛŋ bumo ŋ gbɔ ŋ ji, abi ɔteetee ŋ ni shwe etsotso kɛkɛ — ɛnyɛ big big o, ni ŋ gbɔ nimɔ gbɛ atɔ. Yɛ haŋ shwe ŋ ji, yɛ kitee ntɔŋ ŋ bii gbɔ ŋ ji. Me biɔ Kwasi — me nɔ ba ŋ. Kojo dɛbi kɛkɛ, chale, ni mitsɔ shi wɔ yɛ bɔ ŋ hospital anaa yɛ tɛɛ hɛ yɛ hiɛ ŋ wɔ tsɔbɔ o. Ofainɛ, bɔ mii shi — yɛ de ŋ hospital anaa?"
12,"Ofainɛ, something very bad aba Cape Coast-Elmina road ni. Oblɛ bi, Appiah, kaa bumo no mli, no onyemi le gbɛɛ — situation serious paaa. Ono gboo — mitse gboo kɛ gbɔ, eyɛ kɛ fracture ni shwe etsotso paaa. Miye Maame, mibɔ kpee ni mihui no edɔŋ kpee ŋ ni nii kɛ ehuu dɔŋ, ŋmɛne onyɛ amɛ hɛɛ ni otsi bo shikpon. Ofainɛ, frɛ ambulance akɛ mli, oblɛ ni urgent attention yɛ mli — chale, mli mli!"
13,"Ofainɛ, mɛ bi kɛ report bɔ ni etsɔɔ wɔ ha Dambai. Mɛ neighbor bi nyɛ dɛbi, Fatima — OA taxi bumo ŋ wɔ kpee — accident no trɔ small small, nɛɛ dɛbi no ehii. Mɛ din nɛ Edem, mɛ nɛ ofrɛ. Ebi cut wɔ ŋ gboo, kɛ swelling bi wɔ ŋ gboo, nɛɛ otsɔɔ ke walk small small — hɛnɛ yɛ lɛ enyɛ serious paa. Yɛ bi kɛ yɛ nɔ check ŋ wɔ hospital ofainɛ."
14,"Hɛloo, me din bi Mawuli. Mifiɛ kɛ mibɔ ŋ oblɛ nyɔŋ kɛ ni shia, Sena — onya wɔ lɛ work wɔ tsɔɔ. Oba farm work lɛ kpee shishi wɔ Kumasi-Sunyani road lɛ, somewhere faako Techiman, nɛ something heavy bumo ŋ gbɔ lɛ — mishi ni lower arm ni onya. Gbɔ lɛ swollen, entsɔ gbɔ lɛ kɛkɛ o, nɛ ehii ŋ pɛpɛɛpɛ — nɛ ehii mi chale. Nɛ gbeke, oni le, oshishi, onibi le. Ni life-threatening o, nɛ gbeke ehii ŋ kɛɛ, osua doctor bi lɛɛ no. Ofainɛ, onuɔ bi baa kɛ boa Sena. Boa mi!"
15,"Hɛloo, mi name ye Kofi. Mifra lɛ report bii shi naanɔ mi yɛ Asare — o ye mi manye oblɛ. Shi naanɔ ehii lɛ eba Cape Coast, yɛ ni shia kɛ. Boys bi nɔkɛ hɛ, wɔhɛ Asare fight, nɔ bi shwɛ eni ŋmɛi ni. Ŋmɛi ni, cut kekele bi le oshi, nɔ onyɔ bi hii ni wɔ — kaa, neck ni wɔ hii bii. Ɛɛ, oni le, oyɛ kasa — enimɔ gbɛ o. Enye serious pɛpɛɛpɛ, chale, kɛ mi pɛɛ shia se obiara nim shi."
16,"Ofainɛ, mitsɛɔ call bi frɛ shikpon ni ehiɛ gbɔmɔ bi, Kwabena, loo Cape Coast-Elmina road ŋ. Ehia eyi ni ehɔ ŋ — mitsɛɔ hot liquid bi kɛ shianɔ bi bumo eŋ gbɔ ŋ — enimɔ deep o, yɛ skin ni shoo jɛɛ, kɛ ehii mi shi naŋ. Miŋ Ofori — mibii kpee ŋ meko, mi hɛ no mi kpee ni boa no. Gbɔmɔ oo, ano sane mi nibii — yɛ oni le kɛ otsumo. Yɛ tsɛ onukpa bi ni oyi shi kɛ check no wala."
17,"Hɛloo, boa mi! Dɛbi bi, Naa Akorkor, shɛ ehii — ebumo hot pot gbɔ dzɔ gbɔ la. Saa gbɔŋ, eni le kitchen shi, otsɔɔ kaa ni pot la ekɛ yɛ wɔ mli, emɔ ebumo gbɔ dzɔ. Gbɔ la skin etsoo blisters, oni le, one ni edwɛ pɛɛ — kɛ etɔŋ yɛle ehe kɛkɛ. Ofainɛ, mi nyɛ Fatima — kɛ mibɔ shia ni mitse mli ni manɛ kɛ obi nmii hospital mli? Ni bo mi — nii manɛ ni mɛ boa ni dɛbi la agbaawɔ hospital ka le?"
18,"Hɛloo, ofainɛ boa mi. Ni wɔ mi shikpon Selorm, obumo akwaa yɛ nɔ kɛ yɛ dan ni Nhyiaeso. Oheɛ ŋ ehiɛ ni kpee le bii, obumo gbaa fɛɛ ni gbɔɔ wɔ kɔŋ. Mii ŋ Ama, ni yɛ ŋ shikpon. Ɔ shi ni gbɔɔ wɔ shi hii ni — ni enye hu toto toto, la ɔ tumi tswa tswa dɛɛ. Chale, miti suɔ enye bone pii. Yɛ pɛɛ shɛ ni yɛ ni nyɛ — yɛ fɛɛ ni bɛ ɔ fie yɛ hospital, abii yɛ ni nyɛ dɛ?"
19,"Ofainɛ, something happen here Bantama this afternoon. Neighbor mi ba, Issah — ono ne di adɛ roadside food stall kɛ kerosene stove no flare up suddenly, kɛ heat no tse ono gbɔɔ kɛ shi faafo. Enyɛ serious pɛpɛɛpɛ, skin no red kɛ sore, kɛ oni le — ono kasa yɛ fine. Kweku dɛ, mibɛ kɛ ono shi naa ni happen. Onipa bi yaa bɛ check ono, kakra, because wɔ nyɛ shɛ ni sɔ treatment anaa?"
20,"Ofainɛ, something happen Bolgatanga-Bawku road no, near Navrongo side. Ŋmɛi kɛ oblɛ bi — Kweku — ɔyɛ passenger wɔ dropping taxi bi nu, tipper truck bi bɔ wɔn, minyɛ shɛɛ nyɛ noko bi ehii mi, kɛ ɔnyɛ noko bi ehii mi — na ɔkɛ yɛ jɛŋ akɛ wɔn fɛɛ kɛ oshii bi, ɔjɛ kuntsung ŋmɛi nu, nɛɛ ŋmɛi koo ni hii ŋ. Ɔni le, kɛ ɔyɛ le shwane — noko bi ɛtɔŋ enimɔ gbɛ le ŋ — shi tɔŋ nibii. Ŋmɛi nu cut kɛ shwe etsotso ŋ — enye kɛ bii bii fɛɛ ni, kɛ shwe no etsotso. Miŋ yɛ Adwoa — miŋ yɛ ŋmɛi wɔ nɔ bi kɛ wɔ stop wɔ bo ŋ. Ofainɛ, yɛ hia someone ni bi ba — mitsɔ shɛɛ enye serious noko bi ŋ, kɛ yɛ hia ambulance ba fast fast. Frɛ ambulance ba, ofainɛ!"
21,"Ofainɛ, mɛ bɛ report bɔɔ shi wɔ He ni le afɔ. Oblɛ bi name nɔ Kpodo, eye onyɛ work — mɛ suɛ ɔ lɛ boa carry goods ɛnyɛ labour work bi — akɛ bɔɔ bi bumo wiemɔ ehii nɔ gbɔ. Fatima nɔ mɔ yɛ name, mɛnɔ lɛ frɛ; mɛ le shikpong kɛ ni enyɛ. Oblɛ nɔ gbɔ swollen kakra, kɛ ɔni le fɛɛ eye ɔtumi kɛ mli — enyɛ gbɔɔ ehii o. Kɛ chale, onipa bi nyɛ bɔ bɛ check nɔ — oblɛ dɔŋ eye yɛ pɛ sane ɔ le fɛɛ."
22,"Ofainɛ, bɔ accident bi etso Cape Coast-Elmina road so, mi nyɛ report etso. Minaaŋ Adwoa ni trotro bi dzɛ — kaa bi ba fɛɛ kɛ etia wɔ. Ŋmɛi ni shwe etsotso, kɛ oni nɔkɔ nɔ ni enyɛ nii ehii mi kɛkɛ — ŋɔ ojekoo kɛ otsɛ gbo. Miŋ Selorm, mi le ni tsɛ kpee dzɛ ŋɔ. Mifɛɛ onii bi ba bo mi ha, boys, shwe entsotso o — entso ngmɛŋ."
23,"Ofainɛ, something very bad abɔɔ wɔ ha Tamale, we family compound ni. Minu Boateng, kaa bumo no kpee wɔ ye ni ba fie, na wɔ ba no bring am come ha — ŋ gboo ni le condition kɛɛ kɛɛ, ni twisted na shwe etsotso ŋ na mitsɔ stop am o. Oblɛ ni no, maybe nineteen years, na oni hii na oni shɛkɛ shɛkɛ na yɛ ji bii kɛ no. Mi yɛ Hamza, mi yɛ one ni frɛ wɔ — ofainɛ, yɛ hia help ba ha fast fast bɔɔ, bɔ yɛni nyɛ bii ni etɔ ŋ o."
24,"Ofainɛ, something very bad abɔ wa ha Asokwa, Kumasi — gbɔmɔ bi wɔ Owusu, eni nearly drowned mli, naanɔ yɛɛ okpaka hei gbɔi. Eni hɔmɔ le, kɛ hɔmɔ shɔ slow wɔ weak kɛkɛ, naanɔ ŋmɛi wɔ eni gbo shɔ very swollen wɔ strange — chale, something dzɛ badly wrong inside ŋ. Miŋ Kwame, mi ŋmɛi neighbor ŋ, naanɔ mɛ yɛ ŋ lɛ ni jɛi nsɔŋ mli, kɛ eni responding well o shi. Ofainɛ, yɛ hia help ni bɔ wa ha fɛɛfɛɛ — gbɔmɔ ni, naanɔ eni shɔ very serious kɛkɛ."
25,"Mii nyɛ Issah, mirefrɛ mɛ report accident bi shi Suhum hɛ. Gbɔmɔ bi — Adwoa — ɔreyɛ kpee tsɔɔ na trotro bi kpaa no, na obumo fɛɛ. Enimɔ bi serious paaa o, shi gboo no — obi ni hii no mli, na cut kakra bi le hɛ. Otumi yi gboo no kakra kakra, shi oyɛ need sɔmɔ ba lɛ check no pɛpɛpɛ."
