id,roundtrip_en
0,"My father, my son Kwame has lived in iron and died in the fire, and the tree is not concerned about Dambongo. They went to go up to the market a lot, and the woman divorced him, and he was found guilty. He told his father and gave him two children, and his father had them, and went on to take the land and live. My word which they call Bafour, and I want one afternoon to say to him and I will plant him and make him like I will plant a tree."
2,"Hallelu! Well done, Help! The fowl — Mensah — boresaa defeated him in the pit of the Takoradi market, and he was born. His words were not found, and he who was not able to say anything to a woman. He has given way to a dog —he is concerned for her, he is waiting for a girlfriend — but his mouth pecks and his nose pouting. I will magnify her, I will not associate with her. I am going to call the ambulance, and the one who has been lost will not be tired; I have neither imagined nor imagined that he would be exalted. You have gone in and helped us!"
4,"My lord, I am going to go on a journey which is near Kumasi-Tamale kraal, Ejura dance. I pay King Dedei, and I am going to go on with a small child who is buying Nii —he's rich so that it becomes quiet. The guinea fowl has started talking to itself, and its guinea fowl has failed. He is wondering whether he will say such a thing. But he has given way to his lord. His bush-burning bush-burning got stuck in the bush, but he is able to make a speech. I, for my part, tried to save me from being a little one. Please, take my mother and help her."
5,"I bought, and I didn't want a fish, I didn't want a fish. I said to Appiah, and I called for a prophet and he or she didn't speak to Abena. He or she didn't have a babysitter or Dambai —he or she didn't help him when he was in a menace and he was in trouble and he was in a bad mood. And the word or the word that came with him has gone on and he went on walking in the market. And his words were that he had spoken them by the word of his mouth. I called him, if I should send him here and if he were not there, he would try to get something he didn't want to —we are going to go there again."
7,"I, for my part, have not written anything like this, that you should help them. If I tell Agyemani about me and I am talking about Awusu—there is no one to be found by me. There is no child to cling to. I didn't have a child to talk about, my mother was a girl, and she was a quiet woman. His town likes him, and he likes us, and he likes us, and he likes us, and he does that. He is a town, and he also bears the blame for his actions. If I called an ambulance, if it didn't come, I would talk about it for a little while."
9,"I, for my part, went home and a little woman came out from Felicia, she was a woman of Kumasi-Cape Coast port, Mankessim. A stranger follows after him, and a stranger drinks his wife, and the man got to see the man's house, and the man's house is closed, and his hand is not in his hand, and you are not in his hand. I am from Boateng, I am from them, and I am from them, and they say that they should come and help him. I, this, you have done this and have not done any thing and have not helped him, Barka, the elders and women gave birth to him and he was a man of war."
10,"My name is Asare. I have made a decree which has little meaning, his name is Elin. He had no equal in Adentah, his household's son-in-law — a man with no wife, a woman with slim stones, a man with baobab fruits, a woman with baobab fruits, a man with baobab fruits, a man with baobab fruits, a man with a wound on his arm, a man with a wound on his arm, a woman with a stick on his arm, and a woman with a stick on his arm. He will show that he is tired, not by any means, nor by any means, nor by any means. We want to be told what has happened to a man and he is like that."
11,"Allelu, I bought. My little brother Kojo is walking along the main road, he was going there to show his hand. The guinea fowl that knows the tip of his hand and puts it to his chest, blood or arm, but his hand is clunged while his hand is being carried away. The matter matter — I called Kwasi, I ate his dog. We also put our trust in his arm and we hung it on his arm, but I want to fight with someone whom you don't trust —he has rescued the child, and I have asked him for a written opinion, and he will make it plain that I am the King's chief. I, on the other hand, am doing the same thing."
13,"I, for my part, were going to tell them what I should eat and what I should not drink Damba. My little brother, Fatima, on the other hand, Oa's taxi is over his nose — an accident that you are wearing to a man's head, but a bad word to a man is what he says. What I have not been told by a doctor has happened to him."
15,"Allelu, my name is Kofi. I want to make known to you the things that are wrong with my people. Asare and I will say to you that I should not associate with them and they must not associate with him and their gods should not lie on his back and his son should lie on his head. His head a little while longer, his strength a little, and his strength a little, so that he could see the way —he is an expert, he is asleep. And there was no other way off, but there was no one to downgrade them."
