id,narrative_fante
0,"Me pa wo kyew, me ba Kwame hyɛɛ accident wɔ Damongo ha nnɛ awia yi. Ɔrekɔ twa ɔkwan no ho faako a ɛbɛn market no, na pragyia bi bɔɔ no, na ɔtuu fam. Ne nan no yɛ no yaw, na yehunu cuts ne scratches bi wɔ so, nanso ɔtumi sesa no kakra, enti yennye adi sɛ ebubu. Me din de Baffour, na mepɛ sɛ obi kyerɛ me asɛm a mahunu bi fa ho — sɛ dɛn na menyɛ ma no seesei."
1,"Me pa wo kyew, mepɛ se meka biribi a wɔyɛɛ ha wɔ Tamale central. Me hɔhoɔ ba, Kwame, ɔwɔ trotro mu, na kar foforɔ bi bɔɔ no firi nsam — enye kɛse papa, Nyame da ase, nanso ɔkɔɔ fam ɔbɔɔ ne kɔn ne ne tiri fam wɔ asase so. Ɔyɛ abofra kɔkɔɔ, ne mfe bɛyɛ seventeen oo saa. Me din de Dela, mene onipa a efrɛ no. Abofra no atedaw sɛ saa, ɔhunu hwee, nanso ɔreka sɛ ne kɔn yɛ no yaw kakra."
2,"Me nuabarima Mensah, aboboyaa bi bɔɔ no kɛse fa Takoradi market area ho, enye tɛ saa. Bike no bɔɔ no na ɔtuu fam papa, na ne tiri ne ne kɔn ho hyɛɛ no yaw wɔ saa fall no mu. Ɔnim ne ho na ɔreka asɛm, nanso ɔreka sɛ ne kɔn yɛ no yaw kɛse, na ne tiri fa bi ho asu. Me ne Nhyira, mɛka ne ho seesei ara — yehia obi a ɔbɛba mmoa yɛn, efisɛ yɛnnim sɛ yɛnsɛ move no anaa dabi."
3,"Me pa wo kyew, biribi a ɛyɛ hu paa na aba aha wɔ Axim. Me hɔhoɔ ba, Issah, kar bi bɔɔ no wɔ ɔkwan so a ɛbɛn fie no, na wɔde no baa ha, nanso abofra no ho nnyɛ koraa. Ne nan yɛ yaw paa — ɛte sɛ ɛpae na mogya retu no dodo, yɛsuro. Me din de Mawuli, mete hɔ beɛ kɛse, na ne awofo wɔ ha nanso wɔnnim dɛ wɔnyɛ hwee. Me pa wo kyew, yɛhia mmoa mmra ntɛm paa efisɛ abofra no yɛ kɛse kakra paa na ɛyɛ no yaw paa."
4,"Me pa wo kyew, mepɛ sɛ mebɔ report fa accident bi ho a ɛbaa Kumasi-Tamale ɔkwan so, bebiara a ɛbɛn Ejura. Me din de Naa Dedei, na merefrɛ fa aberante bi ho — wɔfrɛ no Nii — a ɔhyɛɛ road accident mu. Accident no yɛɛ no fɛfɛ ara nnɛ. Eye sɛ kar bi bɔɔ no, na ɛhuruu no yiye — ne bruwa ne ne yafunu na ɛyɛ no yaw paa, nanso ɔda hɔ na ɔte nkomo — ɔnnhaw koraa. Ɔnyɛ okay koraa, nanso ɔda hɔ remanteen dinn. Me pa wo kyew, obi mmra mmoa no, efisɛ ɔhia help ntɛm ara!"
5,"Me pa wo kyew, biribi twa ase papa na mehia mmoa ntɛm ara. Me din de Appiah, na merɛfrɛ fa opanyin bi ho — wɔfrɛ no Abena — a ɔreyɛ adwuma beae a ɛbɛn Kete Krachi kwan no ho, kɔse Dambai. Ɔretu nnwuma den den no mu — ɔsoa adesoa denden — na biribi kɔ fɛw na wɔhaw no papa wɔ ne bruwa ne yafunu mu. Ɛyɛ no yaw paa na ɔntumi nnyina yiye — injury no yɛ hu papa. Me pa wo kyew, yɛhia obi a ɔbɛba ntɛm ara, efisɛ ɔyɛ opanyin na asɛm yi yɛ den paa maa yɛn a yɛwɔ ha — yɛntumi nkɔ so ankasa."
6,"Yaa nua, me nua Hamza, pragyia bɔɔ no akyiri ha Salaga yi i'amenima. Me ne Yakubu, merefrɛ wo ma no koraa ɛfiri sɛ ɔda ho nna wim seisei. Motobaik no bɔɔ no n'aba so na ɔtuu fam, nanso ɔsɔre ne ho ankasa — enti ɛnyɛ den paa. Ɔwɔ yaw kakra ne n'ayowa ho — n'abrokyir no mu — na bruise kakra wɔ hɔ, nanso hwee nhwee nni hɔ a ɛte sɛ fracture anaa biribiara te saa. Yɛpɛ sɛ yɛhunu sɛ n'ahotɔ yɛ, na yɛpɛ sɛ yɛnim sɛ ɛsɛ sɛ yɛde no kɔ hospital anaa dabi."
7,"Me pa wo kyew, biribi kɛse bi aba ha Wa Central na mehia mmoa ntɛm ara. Me din de Agyeman, na mereka ho asɛm efa aberante bi a wɔfrɛ no Owusu — kar bi bɔɔ no wɔ ɔkwan so saa beberɛ yi ara. Aberante no ho nyɛ koraa, ne nan ahu mɔba paa — ɛte sɛ fracture kɛse bi, na mogya retu paa. Ɔntumi nnante anaa sisi ne nan koraa, na ɛyɛ no yaw bebree — ɔda fam hɔ kɔkɔɔ ara. Me pa wo kyew, yehia ambulance bi mmra ha ntɛm ara ansa na asɛm no bɛyɛ dɛn biaa."
8,"Me pa wo kyew, mefrɛ sɛ merekyerɛ adeɛ bi a esii me nuabarima Kwabena ho ha Yendi. Ɔreye adwuma bi wɔ efie — ɔrekɔ something wɔ dan so na ekaa sɛ nkukuwa ketewa bi tuu fam buu no tiri akyi. Appiah na ɛyɛ me din, me na merefrɛ. Ɔse ɛnyɛ no yaw paa, nkutoo kuta bi na eye, nanso mogya ketewa bi retu, enti yehia sɛ yɛhwɛ sɛ ɛyɛ okay."
9,"Me pa wo kyew, biribi bɔne paa asisi saa abofra baa bi a wɔfrɛ no Felicia no so wɔ Kumasi-Cape Coast ɔkwan no so, Mankessim ho. Mmarima bi dwiriw no, wɔbɔɔ no paa, na ne nsa ho teɛ saa — ɔntumi nnyin no koraa, na ano ahobow, na ɛdan bɔne bɔne so. Me de, me yɛ Boateng — merebɛ me kar mu na mahu no ɔkwan akyiri so na osu, na obiara remboa no. Me pa wo kyew, mo ntena mo hɔ — mommɛma obi mmra ntɛm paa, efisɛ abofra no retu mogya bebree, na ɛte sɛ ɔbɛkolapuse ara."
