id,asr_transcript
0,n daa m bia komike atidin kuu ohinka damɔŋɔbi tiyi yɛla o bi nyaŋ ti lahi maa marikɛt pam ka pirajie buɣo a o gbini o tiŋ yɛligu o daa ka ti bia nyɛ zaɣili ayi la o tiŋ zuɣu amaa o dii tiŋ ti lahibihi doli ka ti gba yi o tiŋ pɛhim n yɛligu din be n yuli ba foori ka m bɔri wunto yini o ti nyɛli maa nnaŋ mmo o ŋmani dim n ni motia
2,alo n daa sɔŋ maa nuo maa min sah abɔboya daa ŋmi o kɔŋ takura di marikɛt kɔŋ ka o bi daa ye o gbini ka yɛligu daa ka ŋun ni o kolim kɔŋ daa yɛligu paɣ ti soli baa o nyɛ o maa yɛla o guri zaɣa amaa o zaɣiri ka o ŋun nɔhi li ka yɛligu daa ka ka o wari ka o maa ti kpe li n yuli ni nʒira nkɔŋ o taba m bee ni yi fire am bulan chɛ maa ka ŋun bɔɣili kɔŋ mpu ŋmani bee ti ni daa nyɔɣ o ka o tibibu zani yi kpe ka yi sɔŋ ti
4,n daa m beyeni ngoli achidɛnt din kul kumasi tamali nyaŋkara i jura siɣibu nyɔri na a dɛdee ka m beyeni n goli yɔɣu din kul bia biɛla din din yɔri nii o achidɛn pulo nyaŋ zuɣu ka ka di ke di sim ka a gbaai o tɔɣa ka o yɛligu ka yɛligu mpaai o diɣindi ni o pam dol o yɛligu paai o bɔŋ amaa o ti soli ke o mɔɣɔ kaani o nyuɣu ni ŋman zi o ti di kpam amaa o bi tooi tooi ka yɛligu ndaa yoli yilili kpamma o bɔrila sɔŋ ka di nya so biɛla di mi suɣilo yi yi maa chɛ sɔŋ
5,n daa ka yɛligu daa naɣi ka m bɔri sɔŋ ka ziŋli n yɛligu a pia ka n firi n yɛligu ka o bee nindaan o yɛligu a bina o bee ka kiti krachi nyaŋ daɣili bee dambai o bee ka o daa sɔŋ o too suhudiri doo o daa zaa naɣ o nya ka yɛligu o diɣindi ni pam beo ka o zalim ka yɛligu bee o o titoli soli daa k o yɛligu daa nyɛ o maa ti wuhiri yɛligu ndaa yi fir o sɔŋ kayi wa ka zaŋli bɔri ka o nindaan ni ka yɛligu wuhibuɣili ti nyɛ ti titoli soli ndeeni
7,ndaa yɛla gbana konti ye ka yi ni sɔŋ maa tuma nyi yɛla ajɛman ka m bi yɛligu o wusu yɛla kaa gbini o nyaŋ so ka kpɛŋ bɛ bia ka yɛla ni m maa daa o tiŋ yɛligu daa o tiŋ kpari tuu ka ziim bee o daa paɣi o tiŋ bɔro tooi kpɔŋ waani lahi ka yɛligu ka o niŋda o bi nyɛ fɔŋ o gba tuma zuu so ndaa yifiri an bula chɛ yi ka bɛ bi m bi ye ni yɛla ni kpari biɛla
9,ndaa kul bia maa ka paɣa bela la baa yili fɛlisia o nyɛ yɛligu daa ku kumasi kapikus nyampɔŋ mankɛsim saɣim ni bɛ kpɛmbu dol o ka ba a nya o paɣa a ka o nuu nyɛ yɛligu daa tɔmtɔm o daŋ soli o nuu tuma kuli ka o kulɔɣɔ kaa ka nyɛ sɔŋsim nyiri botɛm mbizi kaa la yi nyaŋpɔŋ ka n nyɛ o nyaŋ doli ngbini o bi yɛri ka ni bɛ kuli daŋ sɔŋ ndaa ŋɔ yi tuma ni ba la ka baa di zɔŋ ka bu wa sɔŋ o barika bimba la o ziim geya paɣa daa tɔmtɔm o nyɛ ni o daa ti zaba
10,n yuli asari nfiri ka n yɛli guribu bɛ wuhigu din gbinni biɛla kɔŋ o yuli elinam o daa ka jollɔf din adinta o yili kon doo kotopɔto din bi pɔtikon daa o kuɣa gbiri ta a ka nyandaanam ka yi mali ka buɣim mi ni yi taɣili o nuu kɔŋ o golim bee ka doo o nuungbannim zɔŋ ka baɣisi bee ngbahiŋ o nuu zuɣu ka yɛligu bee o paɣi o ti wuhi ka o gbari a kakaa soli nka yɛli ka yɛligu bee o chaŋ ka chaŋ ka paɣa ti bɔri n ni ti bi yɛli din ti ma mali li di chɔŋ omaŋ doo ka ŋmani
11,alo n daa m bela kojo o gbini yɛsiti bɛ ni o daa bi kpaŋ karipantari yili ka o goli be ka wuhigu o nuu kpaŋ din gbini o nuu ka cpɛh o suɣilo ziim bee o nuu la amaa o nuu kpaɣa ka o tɔhigu la daa niŋ mali yɛla maa n yuli di kɔɣisi ndi o baaba ti lahiti zul o o nuu suɣilo ka ti gbantaba o nuu zuɣu amaa m bɔri n zaɣi amabiɛŋ ka niŋdi ndaŋ ni o tumbia la ka m bɔhisab bia ti bɔri nkpe o niŋdo wa ka niŋ pahila naa n daa tsɔm maa n gba yɛli maa nniŋ
13,n daa m biyini ndir shɛl nyɛ ka o kɔŋ dambai ntariga biɛla fatima o tagsi gbin o nyaŋ zuɣu achidɛnt ayi doodoo amaa biɛligu yɛligu maa nyaligu din fire n yɛligu la adam o tinzuɣu kɔri bio ani o tinfuɣiri kpabi amaa o daa daa diri laɣim ka ti nyɛ ka a yɛla ka o yɛligu wuhiri paai ti bo ndaa ka dɔɣi ti nyɛ o yɛli o zuɣu biɛŋ
15,alo n yuli nyɛ kɔfi m bi bɔri yɛli ndeem wuhigu din naɣ m mamba asali ni yɛligu ndiɣim kolim kapɛkoas biɛsinima bɛ ni nalibu ka bɛ dinsi soli o ni ka o yini doo di o zuɣu o zuɣu gbaŋ biɛla be ka o kpɛŋkpɛŋ yɛligu biɛla amaa o tili soli o nya yɛla o bi gbiri ka din yɛligu ka daa ti bili bili amaa n nima bi so ka suɣim doo nya
