id,asr_transcript
0,mepa wɔ kyɛ wo meba kwame ayɛ ka akye denthawo dammɔngo awia berɛ yi ɔrekɔtwa ɔkwan no ho dwam no nkyɛn no pragyea bɔ no na ɔtuu fam ne nan yɛ no yaw na yɛhunu kɔtɔ ne abusua wɔ ne nan so nanso ɔtumi yi no kekaa enti yei nsu sɛ ne dɔm pɛ atwa me din de bafoɔ na mepɛ sɛ obi kyerɛɛ me sɛ menyɛ deɛn ama no siesei
2,agoo mepa wɔ kyɛw menu abarima mensa abobɔeyɛ a bɔ no takoradi dwam ho no na ɛnyɛ akye biara motɔ no bɔ no na ɔtuu fam yie na ne ti ne ne kɔn ho yɛ no yɛw wɔ saa tutu no mu ɔhunu ne ho na ɔreka nanso ɔreka sɛ ne kɔn yɛ no yɛwo pa a na ne ti fa bi so ayɛ hwerɛwo medin di nhyira mewɔ ne nkyɛn nsiesii aa mepa woɔ kyɛw soma onipa mmaraboa yɛn ɛfiri sɛ yɛnnim sɛ yɛn sɛ yɛno hyɛ kwan anaasɛ yɛntena ho mepa woɔ kyɛw soma abulankye mmara ntɛm aa
4,mepa wo kyɛw mepɛ sɛ meka akye dent bi a ɛsi kum asi tamale ɔkwan so edwura nkyɛn ho me din de nafrɛ afa ɔbarima ketewa bi ho wɔfrɛnonii ɔwɔ kaa akye dent mu ka bibɔ no na wɔabubu no yiie wɔ ne yafunu ne ne buronya ntam no ho nanso ɔhunu ne ho da kyea so ɔnni steti paananso ɔreyɛ saa saa kakra mepa woo kyɛw obiara mmara mmoa no ɛfiri sɛ ohiammoa no ɛfiri sɛ ohiammoa
5,mepa wo kyɛ wo biribi de ɛsian a ɛda hɔ na me hia mmoa ntɛm ara me din de ɛpae a na mefrɛ hɔ fa ɔpanin bi hɔ ne din de abena ɔreyɛ adwuma beabi a ɛbɛn ketekrakyi ɔkwan no danbaa nkyɛn ɔkɔ ne adwuma a ɔde adoadoa annie a ɔde soade no na biribi de kɔfa biara na wɔahot no din yie ne fasu ne nniyɛfunuho ɛyɛ no yɛ wo pa ara na ɔntumi nkɔ nkɔ da na ɛsiane no yɛ den mepa wo kyɛ wo soma onipa mmara ntɛm ara ɛfiri sɛ ɔyɛ ɔpanin na ɛsiane no yɛ den pa a yɛntumi nni ho nko ara nsa
7,mepa wor ekyɛwo asɛm kɛseɛ bi asi hawa sentral na mehia mmoa ntɛm ara medin de agyeman na merefoɔ mfa ɔbarima kɔkoɔ bi hɔ wɔfrɛ no wusu kaabo no wɔ ɔkwan so ha sisiiɛ ara aberante no nyɛ sɛ koraaabulante bi soma mmara ha ntam a
9,mepa woo kyɛ wo biribi bɔne pa a aka abɔfra baabi a wɔfrɛ no felisia wɔkum asi kapekoas ɔkwan no so mankasi me nkyɛn mmarima bi so too no wɔbua no yie pa a na ne nsa no yɛ bɔne dodo ɔntumi nsieɛ no koraano ayɛ hunuu na ɛda ronwae so me ne boatɛn mede me kaa rekɔ na mehunuu no kwan no nkyɛn no so resu obiara remma no boafɔ mepa woo kyɛ wo monso soma onipa bi mmara a ntɛm ntɛm ɛfiri sɛ abofra baa no mo ogya potɔpotɔpotɔ rehwie na ɛsɛɛ sɛ ɔrebɛhwɛ ase na wɔanyɛ hunu
10,me din de asare mefrɛ mo ɛfiri sɛ biribia asi elinam ɔba bi hɔ ɔredi dolof ase wɔ ne flat no mu ha adɛnta presure a ɛwɔ poto no mu  a nʼano hyɛ so kɛse ara mastiam na nsuo hyɛwo fii mu kɔhyɛɛ ne nsa no ho ne nnwan no aboa so na mmɔboa ase bi da ɛyɛ no ya pa aaɔhunuu ne ho na ɔrekan nanso hyeo ne ho yie hu na ɔsesa sɛ ɛyɛ no yao pa ara yɛpɛ sɛ mokyerɛ yɛn deɛ yɛbɛyɛ ama no seesei ara
11,agoo me pa woo kye wo tie me meba kɔdwo wabubu no ɛne wo kɔbɔɔ mmoa wɔ kapɛnta dua dwumadi mu ha wɔ asemfo su dua bi atua agu ne nsam so na ɛtaa no kakra enti mogya re efirii hɔ kakra nanso ne nsa resakyerɛ yi ara pɛ medin de kwasi mene ne agya yɛahoro no yiee na yɛakyekyerɛ ntama ho nanso mɛtɔ so pɛ sɛ mebɛbɔ amane ɛfiri sɛ ɔyɛ abɔfra ketewa ara na menhunu borɔ noɔ sɛ ɛsɛ sɛ yɛde no kɔ ɔyaresabe anaa deɛ
13,mepa woɔ kyɛwo mepɛ sɛ meka biribi a ɛsii ha wɔ danbai me yɔnkoba fatima ɔa tahe bi bɔ no wɔ ɔkwan so akye dɛn ketewa bi na ɛsii nanso abɔfra no abubu me din de edem mene ɔno a mefrɛ no ne nan so wɔ mmɔborɔ bi ne ahohorɔ bi nanso ɔnan kɔtiaatiaa enti yɛntaa sɛ ɛyɛ den pa aa yɛpɛ sɛ wɔhwɛ no yie pepɛpɛ
15,yɛfrɛ me kofi mefrɛ sɛ merebu mu ho amanneɛ fa me nuabarima asare hɔ na ɔwɔ yɛn fie ha kape koas mmarimanom bi baa ha na wɔhyɛ no akɔkɔɔ na wɔn mu baako buaa no tiri so wɔbubu no kakra wɔ ni tiri so na ne kɔn nso yɛ no yaw kakra nanso ɔhunu ne ho na ɔrekasa ɛnyɛ hunu papa nanso mepɛ sɛ mehunu sɛ obi nnim ho
16,mepa woɔ kyɛ wo mefrɛ mo sɛ merekan biribi a ɛsii ɔpanin bi kwabena ho wo kapekoas ne elmina ɔkwan no so ɔgwanbɔ no me sɛ nhwihwɛmu bi a ɛyɛ hyehyɛ nsa anaasɛ biribi a ɛhyehyɛ ka ne nsa ho ɛnyɛ duru korananso ɔhunuu ne ho na mehunuu no na mewoo mebo ase sɛ meboa no ɔyɛ ɔpanin enti na mʼani bɔ me nanso ɔhunu ne ho na ɔreka yehi a obi a ɔbɛba nhwɛ no papa
18,agoo mepa woo kyɛ wo boa me mekunu salom ɔtuu fam ne ewia haa yen fie nhyia so ɔreyɛ adwuma na ɔreda fam fi baabiara so na ɔselee naa wɔatua fam pintinne nʼafunufa so me din de amaa me ne no yɛ aware sani yafunu ne ne kɔkɔfa so ɛyɛ no yaw kakra nanso ɔtumi sɔre na ɔnam enti mensusu sɛ ɛyɛ den papa yɛpɛ sɛ yɛhunu sɛ ɛsɛ sɛ yɛde no kɔ ɔyaresabea anaa yɛnyɛ den
19,mepa woo kyɛwo biribiabaha wɔ bantama yi awia yi me yɛɔnkɔ ba esa ɔredi aduane wɔ kwan nkyɛn adua hyɛ deɛ a ɛwɔ hɔ no na karo sene stoi no hyehyɛeɛ enti ɔgya hyɛwo no firii nʼakyi ara na hyeo no kaa ne kɔma ho ne ne yafunu ho ɛnyɛ den papa ne honam aa nso ayɛ kɔkɔ na ɛyɛ no yɛwo tiaa nanso ɔhunu ne ho na ɔrekasakasa nyansa pɔ me ne kɔku na mewɔ ho berɛ a ɛkaa saa ɛbɛyɛ na obireba na ɔnnoa ne ho ɛfiri sɛ
