id,translated_en
0,"I killed my child's head with a stone and he didn't succeed in burning the bush so he was bound to say that our child was a double-edged one in his mother's womb, but he went on foot after his mother-in-law and we also took off his father-in-law's house and took off his father-in-law's house and made him appear to be the same name as his father-in-law."
2,"as he was helping his father-in-law and his father-in-law and his father-in-law made him fall ill-gotten so that he didn't have to lie on his back without saying that the man had to tell his dog that he was going to run after him, but he refused to do so and so he was forced to do so in order that his name might be put to death so that his father-in-law or his father-in-law could not be confused with him or his father-in-law and his father-in-law and his father-in-law and his father-in-law and his father-in-law and his father-in-law and his father-in-law and his father-in-law and his father-in-law and his father-in-law and his father-in-law and his father-in-law and his father-in-law and his father-in-law and his father-in-law and his father-in-law and his father-in-law and his father-in-law and his father-in-law and his father-in-law and his father-in-law and his father-in-law and his father-in-law and his father-in-law and his father-in-law and his father-in-law and his father-in-law and his father-in-law and his father-in-law and his father-in-law and his father-in-law."
4,"I was going to join the kapok-leaf-soup to get the chanced upon, but I am going to go to the bush near the child's yam mound so that it is quiet and you can catch up with him and say things which are difficult for him to say and so that his words may come true and he may come up to his aid but he has gone home to the bush reading his yam and to the baobab tree, but he can't get the chief to remove the baobab from his yam; he is trying to find someone to find out the little one who is sorry for trying to help him."
5,"I didn't say a word in vain, I wanted to help but I didn't say it was because he or she didn't say anything to you when you asked for it, or because he was kind to her."
7,"the letter of the book of the law says that if you don't do anything, I don't say anything about his name and he doesn't say anything about his name and he is not talking about it, and he is not talking about it with his child or about it with his mother-in-law or about it with his mother-in-law and about it with his mother-in-law and about it with his son-in-law and about it with his father-in-law and about it with his son-in-law and with his father-in-law and with his father-in-law and with his father-in-law and with his father-in-law and with his father-in-law and with his father-in-law and with his father-in-law and mother-in-law and father-in-law and father-in-law and father-in-law and father-in-law and father-in-law and father-in-law and father-in-law and father-in-law and father-in-law and father-in-law and father-in-law and father-in-law and father-in-law and father-in-law and father-in-law and father-in-law and father-in-law and father-in-law and father-in-law"
9,"while the child was still alive, the woman was at the house of the dog’s father-in-law. he said that he would not allow them to kill the young man for their part so that they would see his wife with her hand, so that they might take her and the woman with her hand and the woman with her hand, who was carrying her father-in-law and the woman with her father-in-law and the woman with her father-in-law and the woman with her father-in-law and the woman with her father-in-law and the woman with her father-in-law and the woman with her father-in-law and the woman with her father-in-law and the woman with her father-in-law."
10,"I love the fats and I will say to them that there is no meaning in their minds to the extent that they no longer have any understanding of his name. He had no choice but to lie on his back and sleep under his own feet, so that a woman should not tell me what happened to him or what happened to him or what happened to him and what happened to him or what happened to him and what happened to him and what happened to him and what happened to him and what happened to him and what happened to him and what happened to him and what happened to him and what happened to him and to what happened to him and to what happened to him and to what happened to him."
11,there was a man under his kapok tree who told them that he was not going to go to the house of the carpenter and that he was going to show him how to put his hand through the blood or the wine but his hand was heavy but his hand was heavy and the knife was so blunt that his father could not hold his knife and put it on his arm and put it on his shoulder but I wanted to make a mark on his ear so that my servant's son would just want to do this and make it known to the king that I had learned from him.
13,"I was thinking of something he couldn't get a small piece of wood to put his tag on his head two times, but the parable of the baby that came out of my mouth fell on his head and broke his head again, but he was eating together and saw that you were talking about it so that a baby would tell him about it."
15,"Also, my name is coffee and I don't want to speak in the name of my mother or in the name of my mother or in the name of my mother or in the name of my son or in the name of their mother or in the name of their mother or in the name of their mother or in the name of their mother or in the name of their mother or in the name of their mother or in the name of their mother or in the name of their mother or in the name of their mother or in the name of their mother or in the name of their mother or in the name of their mother."
16,I wish they would write a letter to me that they should come and learn that he who is the chief of their companies should be the one who is the one who is the one who is the one who has the right to be the one who has the right to be the one who has the right to be the one who has the right to be the one who has the right to be the one who has the right to be the one who has the right to be the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the
18,"when I wanted to find out what my child was trying to do with his child's teeth and if I were to find out what was going on in the dark, then I would find out what was going on in the middle of the night and what was going on in the night, but as I hid from his waist and he was walking slowly, he was just going home and doing what was bad in his sight and I wanted to find out what had happened to him and what had happened to him and what had happened to him and what had happened to him and what had happened to his hospital and what had happened to him."
19,"The woman was not in trouble with those who came to see me but a little while ago, when she saw him he was eating and didn't get drunk so much that a voice from his mouth said that he had come and had spoken to her because she said that he would not say such a thing that he would not say again if he had done so or that he should just lie with her and then we would talk about it and say that a tree is looking for fruit."
22,"I didn't have a say in the olden days, when I wanted to unstooled women. You are lying in a hole in the ground and she is running and she is running around and she is not going to help him who is fit and who is not the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the"
23,"I was putting a lot of water on my arm and there was a big stone lying on my shoulder and he was searching for the house and those who came with him, but the town of his mother has caught him, and the blood has arrived in his son's house and the love of his father has become abundant and the love of his mother has become apparent to all of us."
24,"I didn't tell a woman who was a quiet man who was a quiet man and she was a former husband and we were also looking for him when he was going up to bed, but when he got up the spirit and was lying down, the man who had been dead and saw that even though he was not hungry and his body was not watery during his years, he should wash his hands in water which was dirty but he didn't want to tell us all the things that were dirty and we were lying in the same thing and then the skin was burnt."
25,"I love what I have done in the past, what he didn’t say, what he didn’t say, what he didn’t say, what he didn’t say, what he said, what he didn’t say, what he didn’t say, what he didn’t say, what he didn’t say, what he didn’t say, what he didn’t say, what he didn’t say, what he didn’t say, what he didn’t say, what he didn’t say, what he didn’t say, what he didn’t say, what he didn’t say, what he didn’t say, what he didn’t say, what he didn’t say, what he didn’t say, what he didn’t say, what he didn’t say, what he didn’t say, what he didn’t say, what he didn’t say, what he didn’t say, what he didn’t say, what he didn’t say, what he didn’t say, what he said?"
27,"I didn't want to see what was going on in the skin of a young man who was smoking a pipe and who was talking to him alone because he had a blind eye and he was trying to speak in the name of his master or when he was talking in the name of his master, you asked that he should lie down and tell him his business so that he should come and help his father-in-law so that he should get a better bow and pay his father-in-law."
28,"I like him because he is pulled out of his house and because he is pulled out of his house, and his talisman or his mother-in-law and his father-in-law and his father-in-law and his father-in-law and his father-in-law and his father-in-law and his father-in-law and his father-in-law and his father-in-law and his father-in-law and his father-in-law and his father-in-law and his father-in-law and his father-in-law and his father-in-law and his father-in-law and his father-in-law and his father-in-law and his father-in-law and his father-in-law and his father-in-law and his father-in-law and his father-in-law and his father-in-law and his father-in-law and his father-in-law and his father-in-law and his father-in-law and his father-in-law and his father-in-law and his father-in-law and his father-in-law and his son-in-law and his father-in-law and his father-in-law and his father-in-law and his father-in-law and his father-in-law,"
32,"a good man went into the house and, indeed, there were some some of them who were going to go there and you didn't have a hard-hearted man and you didn't eat the food that was in order to get it, but you didn't find anything to do with what I was trying to say so as to please someone and so I treated him with fire and he was trying to find fault."
33,the king's war-cry and the war-cry and the famine-drum and the murder of his daughter-in-law and the murder of his wife and the murder of his wife and the murder of his father-in-law and the murder of his mother-in-law and the murder of his father-in-law and the murder of his father-in-law and the murder of his father-in-law and the murder of his father-in-law and the murder of his father-in-law.
37,the man who was speaking to the bush to kill his own father-in-law and the young man killed his father-in-law with a knife and a small knife and a six-tind knife that was in his hand but he kept his word in the town while he was still alive and speaking to them about the way he had given them a piece of wood or a piece of wood that was in demand for the people who were in the pit wanted to see him and that we should pick him up or eat God's gift
38,"I pounded him and didn't like him so much that he was just because he was in a bad mood and didn't pay him any more, so he was in a bad mood because of what he had done, so he was in a bad mood because of what he had said that his leg had become swollen, but he is still just way away from him or he is just going home, but I don't want him to go there and I want my father to leave my son to be my father's son's son-in-law."
39,when a woman from her mother-in-law knew that her husband had given her the right to marry a man with the same name as her father-in-law and not to lend her as her father-in-law.
41,"the man who was found guilty of murder and guilty of murder and guilty man's murder, including the one who was found guilty of murder and the one who was found guilty of murder, and the one who was found guilty of murder, and the other, and the other, and the other, and the other, and the other, and the other, and the other, and the other, and the last, and the last, and the last, and the last, and the last, and the last, and the last, and the last, and the last, and the last, and the last, and the last, and the last, and the last, and the last, and the last, and the last, and the last, and the last, and the last, and the last, and the last, and the last, and the last, and the last, and the last, and the last, and the last, and the last, and the last, and the last, and the last, and the last, and the last, and the last, and the last, and the last, and the last, and the last, and the last, and the last, and the last, and the last, and the last, and the last, and the last, and the last, and the last, and the last, and the last, and the last, and the last, and the last, and the last, the last, the last, the last, the last, and the last, the last, the last, the last, the last, the last, the last, the last, and the last, the last, the last, the last, the last, the last, the last, the last, the last, the last, the last, the last, the last, the last, the last, the last, the last, the last, the last, the last, the last, the last, the last, the last, the last, the last, the last, the last, the last, the last, the last, and the last, the last, the last, the last, the last, the last, the last, the last, the last, the last, the last, the last, the last, the last, the last, the last, and the last, the last, the last, the last, the last, the last, the last, the last, the last, the last, the last, the"
42,"I was there when they said that they should just tell them that a spirit had gone out and that you should take his brother or sister-in-law and kill them and make them serve as men in his care, and they should put his hand in his hand and put his hand under his arm until he got tired of waiting. he showed him his hand and said that he was going to tell me about the horrible things that happened and the people were asking him to help them forgive me."
44,"applies to medicine for the woman or to her husband's in-law, or to her former husband's in-law, or to her former husband's in-law, in-law and her husband's in-law and her husband's in-law and her husband's in-law and her husband's in-law and her son-in-law's in-law and her son-in-law's in-law's case and her son-in-law's son-in-law's son-in-law's son-in-law's son-in-law's son-in-law's son-in-law's son-in-law's son-in-law's son-in-law's son-in-law's son-in-law's son-in-law's son-in-law's son-in-law's son-in-law's son-in-law's son-in-law's son-in-law's son-in-law's son-in-law's son-in-law's son-in-law."
45,"or if a woman gave birth to a baby, she didn't tell a fool that she had given birth to him/her son-in-law what she had said, but she didn't say, “I only saw him when he was speaking to him so he was no more, but she kept quiet and did not say, a letter."
46,"I didn't have anything to do with my problems, but I wanted to come to my aid so that he would not come and save his people who had just come to his aid and who had been sent to his aid and who had been sent to his aid and who had been sent to his aid and who had been appointed to his side."
47,I wanted to eat a lot of food because I don't know what my name is like so much that I am bound with one stone or with one stone and I have seen that my name is
49,"the wind blew and the flood blew so fiercely that there was no one to say, “I have no one to speak to,” he said. “That is how you say that a child is going to say that to a child, but he is not going to tell a lie, and he is trying to tell a lie. That is how he says to God, “I am not going to go there to look for him, but I am having a child to give birth to his wife.”"
52,"there was a big thing that I wanted for a whole island, but it was not because he was hungry and we were looking for him and he was hungry and because he was going to the market, he was trying so hard that he could find one and only if you could see the man who was putting a lot of money on him, so that you could say what he said about the man who had a problem with the man who had a problem with the man who had a problem with the man who had a problem with the man who had a problem with the man who had a problem with the man who had a problem with the man who had a problem with the man who had a problem with the man who had a problem with the man who had a problem with the man who had a problem with the man who had a problem with the man who had a problem with the man who had a problem with the man who had a problem with the man who had a problem with the man and the woman had a problem with the man who had a problem with the man who had a problem with the man who had a problem with the man who was a problem with the man who had a problem with the man who had a problem with the man who was a problem with the man who was a problem with the man who had a problem with the man who was a problem with the man who was a problem with the man who was a problem with the man who was the man who was the man who was the man who was the man who was the man who was the man who was the man who was the man who was the man who"
53,he had no other say than that he told a child who was in a bad mood and who was in a bad mood and who was in a bad mood and in a bad mood he looked like one who is in a bad mood and who is in a bad mood and who says that he is a bad spirit in his eyes and who says that he is a bad spirit in his brother’s eyes and I am also in a bad mood.
