id,roundtrip_en
0,"I plead with you, my son Kwame put a basket around Dagomongo today. He is going around the road near the market, and a woman fell down, and fell down. The leg is painful, but we can see some of his tomatoes there, so we can believe that he is broken. My name is Buffuor, and I want someone to tell me about some of the things I have just done to him now."
2,"My brother Mensah, a boy gave him a big stone about Takoradi Maret apples, it is not like that. The stone fell on him and he fell on his head and hurt him in that field. He knows and is talking about it, but he is saying his chest is very hurt, and some parts of his head is very much. I will be with him now—we need someone who will help us, because we don't know if I shouldn't help him or not."
4,"I plead with you, I want to write about some of the animals that came to Kumasi-Tamaale in a way, anywhere near Ejura. My name is Naa Ndei, and I'm talking about a young man— which is called Nii— which is what is in the body . The player made it very attractive today. It was just like a piece of meat fell, and it was very painful, but it is still very painful, but it is still very empty. It is not very hard, but I can't wait for it, because someone should come to see it, because it is very quickly, because it is very dangerous and it is very painful and it is very painful."
5,"I'm pleading with you, I'm immediately going to have a good time and I need help. My name is Appiah, and my name is about an elderly person— called Abena— who is working near the Kette Krachi road, to Dambai. He's taking off the hard work— It's going to carry a lot of weight—and something's getting better in his stomach. It's very painful and it's very painful. We need someone who comes to see us here as soon, because we don't really have this issue."
7,"I'm sorry, something great has happened here in the Wa Central and I need help immediately. My name is Agyeman, and I'm talking about a man named Owusu—a man was knocked down in the same way at the same time. His legs are not full, his legs are very high, and his blood is bleeding. He can not walk or walk at all, and his legs are very hurt—it is very red. I"
9,"I plead with you, something very bad has happened to that young lady called Felica also on the way, Mankessim. Some men terrified her very, and their hands are just like that—he can’t grow, and his mouth is very bad. I, Boateng— I am going to see him in the distance and everyone is helping him. I"
10,"My name is Asare, I'm calling to be a part of what happened to Elinam. She is planting a yolof in her dress where Adentta—the peas of the peas for the white, and the meat and the juice in her hand is also coming up to her left hand. There is a lot of red, and the scars are still there, but the green is always getting worse, and we need to know what we are going through for now."
11,"My son Kojo had a thieves and now he is here assin Fosu, while he is helping in the carenty Region. A tree fell to his hand and fell to the ground for a little bit, so I'm bleeding a little bit— but he can hold his hand very well. I'm Kwasi, his father. We've grown very well, and we've grown up, but I'm suffering for saying—because he is a little child, and I know where we need him."
13,"Please, I would like to say something that happened here in Dambai. My neighbour, Fatamba, OA taxi knocked him on the way—My name is Ed, is the way I call him. He has a small foot and leg, but he walked, so we didn't see it as great. We want to be very careful and well cared for him."
15,"My name is kofi, I'm calling you something which happened to my brother Asare at our house at Cape Coast. Some men came and spoke to him with a small hand, and someone broke his head. They had cut him a little red, but his chest was also a pain, but he was still living. It was very easy, but I wanted someone to know the news."
16,"Please, I'm pleading with you, I'm going to look at some of the things that happened to an elderly man, Kwabena,—how from Cape Coast to Elmina. He left it. I hear a burning water or a burning sensation in his hand—no, his eyes are a little red and it's a little pain. My name is Ofori—I am going and I started to see him and I started to help him. I'm an adult, but he is still speaking, we need someone who will take care of him."
18,"My husband Selorm fell down last afternoon here at our house Nhyiaeso. He fell down and fell and left for him well. My name is Am, I'm his wife. He says his blue stomach is a little pain, but he can dress, so I'm not afraid if it's so great. We'll know if we'll go anywhere or not."
19,"I'm sorry, something has happened here at Banta today afternoon. My neighbour, Issah—he is eating food in a junction and the kerosene River immediately came out to him, and the fire from him fell into his stomach. It is not good-looking book that he is speaking well. I'm his Kweku, and I'm at the scene as soon as it happened. Can anyone come to his aid, because we don't know if it is necessary for traatment or who own."
22,"I'm sorry, something has happened to Cape Coast-Elmina how I've wanted to talk about it. My sister Adwoa and I have a new car that was knocked down—the car came from where we didn't see it, and it hit him. He's lying on his head and he's still saying his neck is very hurt, but he can't see and is still talking. My name is Selorm, and I'm now around the way. We need someone who's coming to help us, because blood is not going to buy it."
23,"I plead with you, something very bad has happened here at our father's house in Tamale. My brother Boateng, was knocked down on the way he came home, and he was brought here, but his feet are very poor, but he is bleeding too much. This is a little friend, because there is even a little pain in his chest, and he is crying and tears and tears are weeping and our hearts are dying to him. I, I, I, and I, I, I, I, my father, need some help here because we don't know what we are going to do here very well."
24,"I plead with you, there is a great sin here at Asokwa, Kumasi— An elderly man called Owusu will do it and we fear him very well. He is breathing, but it is very soft and easy, and his hair is in it and it is very painful, if something is hurt. My name is Kwame, I am a stranger, and I am also a good dancer, but I also need help here because this person is very elderly and well-carrisumed."
25,"My name is Asamoah. I'm calling for a mention of a murderer that happened here at Suhum. An old lady, Adwoa, was on the road when she was bitten by a truck and fell down. It's quite painful, but her feet are painful—it's going to hurt and there's no big signs, but there's only a few of her legs. It's, but she needs a person who comes to take care of it very well."
27,"I plead with you, something is concerning my father-in-law here at Adan, Kumasi. Kwabena fell down in the morning and broke his head. He is a very elderly man, so we are very afraid, and his chest is also painful, and he can't wait for him well. I'm Abena here, his daughter-in-law, and now he's now had a pain in his head, but he is going to be very scared. We need a person to end up, because he can't really travel around."
28,"My name is Ofori. I'm calling you and I hear a lot about the N1- Highway, Kasoa. An old man, Yaw, fell down— I think he is still up on the road—and his feet are very painful, maybe three times too. It can hurt, but it's very painful, and he can't really stand. It's not just a man, we're afraid back."
32,"I'm sorry, something terrible happened here at Diquemso. There was a man who was with Owusu, the leader who lived near the crime scene— fall on his head. Amoa, I'm also his neighbour, and if I listen to the noise I'm also going out there, I also pick him up and pick him up at the top—he smelled his suspicion and his chest pain. He was completely gone, but the elderly man needed help."
33,"My sister Araba enrolled in a today's party at Kumasi-Tamaale in a manner near Ejura. A car fell into the fight, and he addressed his head very well—he was also very hurt. He was also talking, but he was not well-carried and saw himself as a fresh hairdresser. Please, we need help because we didn't know if he had a key or a new knife."
37,"Please, my sister Abena, OA taxi knocked her on the floor in front of our house at Navmza. It is a young lady, about the age of sixty. When Motobaik—aha, the taxi driver, but he was just lying on his feet, but he was just bitten by the leg, and there was a pain in his legs, and I called my name Araba. I don't want to hear what we are going to do now."
38,"I plead with you, my name is Ofori and I want to say something which happened to an old man near Savengua, at Tamale-Yedi road. He is called Naa Dedei, he is a very old man, and he is working on a small piece of farm near the road, he was hurt by something - I'm afraid that he's being dressed in the back of the car, but he is going to be lying, so I'm going to be too small, but he can't walk very well."
39,"My sister Afia is a neighbor to the house in Suamey, Kumasi. She is coming home with a car, but God bless her. She has a little pain in her stomach and her blue, when she was born, but she is not married. My name is Agyeman, I am now in the house. Please, we want to know what we are going to do for her now."
41,"My brother Yaw also wore academics at the Accra-Kumasi Highway, I will be a Nsawam. I was Baffuor, and I was called Baffuor—and I was called upon by someone when he was going on his way. My friend, who is about sixteen or twenty years old. As I was told, he has a great pain in his blue head, and he can not stand up, but he knows what they are saying—it doesn't break up, he is speaking. I just need help and we will take him to the hospital immediately."
42,"I plead with you, I want to say some of the bad things that happened here on Saturday evening. My friend, Fuseini—who is an elderly man—he is back from the market where some men went and they wanted his money to go. They kicked and broke his hand when he wanted to fight them, and then his hands are so bent and so bent. It hurts but I am a Abubakar—a person who called me when it happened happened. I might not help him because he was an adult."
44,"I plead with you, this is the same thing that has happened here in Dansoman. My grandmother Efua, she has made this sun very strong and strong—A four feet short, and she cannot hold it. It is attempting to move from the peas and the slag for a long time. My name is Naa, I am very old, and we fear it because it is elderly and it's raining from pain. I'll need help immediately when I come back."
45,"My son Abigail is going to go to Hohoe-Jasikan in the same way that a child was knocked out. He is just a child—after, for the age of seventeen years. I'm the child. My name is Hadia. He's a pain in his throat and his head is also a little bit bitten, but he is lying and reading to us. We are now around as if it had happened, but I want someone like what happened."
46,"I'm sorry, something terrible happened and I need to be part of it. My friend Manta was also convicted for the way in Hohoe-Jasikan—was shot. He was also shot with the head, and his chest was hurt, but he was still lying in the same way, so I don't think it was that hard. I'm Abubakar—and I had a moment when it happened. We need someone to come to us, or not to tell us what we're not, because he is too far away."
47,"Please, I would like to say something that has happened to me around Axiam. My name is"
49,"I'm sorry, something happened just like Homoe-Jasikan here a little. A family called Selorm, it is also the girl and the girl has turned down in the same way. My name is Sulemana— I went there where this spirit was going to happen. The child is very wise, but it is said that the stomach of the baby is painful—because of her dreams. It's not very safe, but we think someone will take care of it."
52,"I plead with you, something is very wrong here at Sunyani and I need help immediately. My friend Appiah, a small child, fell into the water and flowed out of it before being taken out of it. When we let him out of it, his stomach looked well with his stomach and looked at the content of it, as it is darker but it is very cold but if we call his name, it is not so small. I will support you immediately, I am now my mother and I am here to be very dirty and I am not waiting."
53,"I plead with you, something very bad has happened to a small child here in Bawku. My neighbour, Adjoa, also fell off a big wine tree in front of the house, and by the way it fell, Abah, it is not at all right. His palms are still turning and not well, and he is in a bad character and can't hold his hand at all. I share the room with his mother, and I'm not here to mention it. I'm pleading with you, we need help because the child is very painful."
54,"My name is Raftu. I'm calling you about something which happened on the Tamale-Yendi road, Savingcini. A different man called Asare, he is helping them with this small piece of paper from the street, and a piece of paper fell from the other side to hit it on the other side of the blue. He is standing and reading, but he says that the little in the blue part is pain, and it is also a little harder. I saw it on the way, and I saw it, and they called me to call it from the other side."
55,"I plead with you, I want to be part of a murderer that happened here at Cape Coast. My neighbour, Afia, OA taxi was knocked on the way, as she is a girl. She is probably 7 years old. The stone is a little painful about her neck and the fire is coming out of her head, but she is still making a point. My name is Alhassan, I'm the one who is going to call her as her present mother, and they are going to be looking for a taxi for her for the Clinic."
56,"I plead with you, my brother Asante at Dormaa Ahenkro here, he was knocked by a car on the throat, and it is very funny. He is young, he is just like a century or twenty years old, and he is very painful - Just like a small, and he is bleeding. I am very bleeding. I am Nii, I am standing around and there is no one else who knows what to do, but I am very quick to ask you, because you can't wait for it or not, it is very painful."
57,"Mahaa. Yaa's father. My name is Kofi, I and Ofori. Ofori is my son. This afternoon, Ofori is hot. We have a house in the garden of Tamale. He has a burning house, and the burning water has fallen on him— It is also not his stomach. This is not the least of the reason for the pain. This time, the child walked well and didn't cry any more. But I called out when I asked—we see, we should take him to the bank or we can easily close the door?"
63,"Please, something has happened here in Goaso and I want to talk about it. My name is Ofori, and call for a woman's call for a certain woman— called Naa Ndei— she is going to have a very low chest. She is holding her neck and says that she is painful, but she is still small but she needs help because she can't hold it very well."
64,"My son Amoa is helping a business here at Yendi, and he also gets a small piece of paper from one of the things. Not only calm, but also short, but I want to talk about a little about it. It is very simple, and the bleeding is expensive."
65,"I'm pleading with you, I'm calling my brother Bonta borehole and I'm very sad about it. We were on the road to Kumasi, and that was when it happened— It was beginning something and the fire, it was burning, it was all about the blue stomach. It was a little, I was six years old and it had it, and the energy in that place was very dangerous—it is red and white, but it is still there is still still still very attractive, God's spirit, I's wife, and I'm in front of it now, but we need to see what we normally do before we go to the hospital."
