id,translated_en
0,"I would give you a piece of paper to wear this red cloth which is going around the road with a small stone hanging near the street and we saw the foot of it and a small stone lying on it and we can see some of its sticks in it but it can also change, so we don't want to break my name and I want someone to show me some of the news I have heard about how I am doing it now."
2,"My brother Mensah stabbed him with a small knife and he was bitten by the Marite race that night and fell on his head and hurt himself in that part of the wall knowing it and talking about it, but he is saying that his neck is a large lump and a part of his head is a part of me I am now with the blessing of someone who will come to help us because we know that we are wearing the mask or iron."
4,"I would like to share a list of some of the tools that came to be so small that I say I'm going through this noise and I'm going to mention some young man I'm going through that I'm going to mention that I'm going to mention some of the men who wear the red jacket which is just a nice piece of sugar and it's very attractive and it's very dirty but it's still still still still still not really there, but it's very common but I'm going to share someone's law with you because of the urgent need."
5,"I would like to thank you very much and I need my own name as the name of a certain old man is called the one who is working near the street to the mining pit which is as heavy as how heavy is something that will affect the stomach of the man with the good stomach and the good stomach, which is all that is very dangerous to the person who is going to be there because he is an adult and this story is really good for us here so that we cannot continue to be there."
7,I am pleading with you for a great thing here at the hearth and I need my prompt help as a witch and I am talking about the name of a young man who is also known as a wanky man in the way too many is now the young man is now living with a very high blood pressure which can not walk or walk at all and it is very painful to see him lying on the ground.
9,"I am pleading with you that the good thing that has happened to this child's called '''''''' is that some of the men of the road were also picked up for the sake of stealing, and his hands were so well-carried and his hands were so dirty that I was also a bad man, I am also going to get into my car and see him in the distance I am going to help him and I am going to share my blood with someone as soon as the child is bleeding too much blood."
10,My name is that I am pleading with you to say something that has happened because of what happened to the crops growing in the millet that is what is in the basket and it is destroying the color of white and black and water that is in the mouth of the palm wine that is coming out and that there is also the good honey that is there that is still there but that we are always going to be with the seed we need to know what is going on now.
11,"I have always had a cold stomach and I have now had a sieve around here when he was helping on the kenkey tapper to see the floor and see if there is a little blood flowing from it but he can touch it with his own hands to the father we have washed it well, and we have swear there but I am hiding myself because he is just a little child I know where to know."
13,I would plead with you to say that I am part of something that happened here in the room where there is a room in the room that is used by the child to see my name as I am in the way I am called in the way it is on the left foot of the foot of the foot but there is a little bit of it so we see it as we want to treat it well and treat it well.
15,my name is from leaving and I'm calling when I mean something which happened to a boy's grave at our house when some men came out to talk to him and someone who has broken his head is also slightly cut and his penis is small but he is still speaking the good but I want someone to know the story.
16,I plead with you that I am highlighting some of the incidences that occurred to a grown man from the kangaroos to the matriline that caused him to hear some hot water or say something burning has not yet happened to him at all if I help a grown man but I am still feeling the need for a person to come and see.
18,"My husband Selom dropped to the ground in the afternoon where our house is also being under a tree, and he fell and broke it well I remember that to make him say that his eggs are small but he can dress so it is more than a good thing that we want to know where to go or how to go."
19,"I have apologized for what has happened here at the end of the day, when a stranger comes to eat food in a nearby restaurant and the kerosene nipvi immediately disappears from the eyebrow and leaves it to the stomach of the palm wine and it is full of pain about the large stomach and it is painful and it is getting a lot of life as it happens to anyone who can come and see themselves."
22,"I am pleading with you for all you money Koas rite and I want to talk about it now that you have a new car that comes from where we can't see and we've knocked it out on the head of the account which is also what he's saying, but he is still seeing it which is what I'm saying as Sel and I'm now with someone we're going to help us because I can't afford it."
