id,narrative_twi
0,"Me pawoɔ kyɛw, me ba Kwame ayɛ kar accident ha wɔ Damongo awiabere yi. Ɔrekɔ twa ɔkwan no ho dwam no nkyɛn no, pragyia bɔɔ no na ɔtuu fam. Ne nan yɛ no yaw, na yɛhunu kɔtɔ ne abusua wɔ ne nan so, nanso ɔtumi yi no kekaa, enti yɛnsu sɛ ne dompe atwa. Me din de Baffour, na mepɛ sɛ obi kyerɛ me sɛ menyɛ deɛn ama no seesei."
1,"Me pawoɔ kyɛw, mepɛ sɛ meka biribi a ɛsii ha wɔ Tamale central. Me hɔhoɔ babarima, Kwame, ɔne trotro no wɔ mu na kar foforɔ bi bɔɔ mu fiti nfa — ɛnyɛ den papa, Onyame adom — nanso ɔtuu fam no, ne tirim ne ne kɔnkɔn bɔɔ asase. Ɔyɛ aberante ketewa, ne mfeɛ bɛyɛ aduɔson ana saa. Me din de Dela, mene ɔhaw a mefrɛ no. Abofra no te ase seesei, ɔhunu ne ho, nanso ɔreka sɛ ne kɔnkɔn yɛ no yaw kakra."
2,"Agoo! Me pawoɔ kyɛw, me nuabarima Mensah — aboboyaa bɔɔ no Takoradi dwam ho no, na ɛnyɛ akye biara. Motor no bɔɔ no na ɔtuu fam yie, na ne ti ne ne kɔn ho yɛɛ no yaw wɔ saa tutu no mu. Ɔhunu ne ho na ɔreka, nanso ɔreka sɛ ne kɔn yɛ no yaw paa, na ne ti fa bi so ayɛ hwerew. Me din de Nhyira — mewɔ ne nkyɛn seesei ara. Me pawoɔ kyɛw, soma onipa mmra boa yɛn, efisɛ yɛnnim sɛ yɛnsɛ yɛ no hyɛ kwan anaasɛ yɛntena hɔ. Me pawoɔ kyɛw, soma ambulance mmra ntɛm ara!"
3,"Me pawoɔ kyɛw, asɛm kɛse bi aba ha Axim. Me yɔnko ba, Issah, kar bɔɔ no wɔ ɔkwan so a ɛbɛn efie no ho, na wɔde no baa ha, nanso abofra no yɛ no den paa. Ne nan yɛ no yaw kɛse — ɛte sɛ ne dompe atwa na mogya pɔtɔɔ pɔtɔɔ saa, yɛn suro. Me din de Mawuli, mete hɔ ara kɔse no, na ne maame ne ne papa wɔ ha nanso wɔn nnim dɛn na wɔnyɛ. Me pawoɔ kyɛw, mmoa mmra ntɛm ntɛm, efisɛ abofra no yɛ ketewa paa na ɛyɛ no yaw dodo."
4,"Me pawoɔ kyɛw, mepɛ sɛ meka accident bi a ɛsii Kumasi-Tamale ɔkwan so, Ejura nkyɛn hɔ. Me din de Naa Dedei, na merefrɛ afa ɔbarima ketewa bi ho, wɔfrɛ no Nii. Ɔwɔ kar accident mu — kar bi bɔɔ no, na wɔabubu no yiye wɔ ne yafunu ne ne bronya ntam no hɔ. Nanso ɔhunu ne ho daa, na ɔretua aso. Ɔnni state pa ara, nanso ɔreyɛ saa saa kakra. Me pawoɔ kyɛw, obiara mmra mmoa no, efisɛ ɔhia mmoa ntɛm ara."
5,"Me pawoɔ kyɛw, biribi de33 asiane na ɛda hɔ, na mehia mmoa ntɛm ara. Me din de Appiah, na merefrɛ ho fa opanyin bi ho — ne din de Abena. Ɔreyɛ adwuma beaebi a ɛbɛn Kete Krachi ɔkwan no, Dambai nkyɛn — ɔrekɔ ne adwuma a ɔde adoadoa annieɛ a ɔde soa ade no, na biribi de33 kɔɔ fã biara, na wahurt no den yie ne fasu ne ne yafunu ho. Ɛyɛ no yaw paa na ɔntumi nkɔ nkɔ da, na asiane no yɛ den. Me pawoɔ kyɛw, soma onipa mmra ntɛm ara, efisɛ ɔyɛ opanyin na asiane no yɛ den paa — yɛntumi nni ho nko ara ansa."
6,"Agoo, me pawoɔ kyɛw, boa me. Me nuabarima Hamza, pragyia bɔɔ no ɛnnɛ awia ha Salaga. Mene Yakubu, na merefrɛ wo ne ho enti sɛ ɔda ho na ɔhome seesei. Motor no bɔɔ no n'afa so, na ɔtuu fam, nanso ɔsɔɔre ne ho ankasa, enti ɛnyɛ den paa. Ɔyɛ me yaw kakra wɔ n'akyinnakyinna ho, na ɛwɔ ho bruise kakra bi, nanso ɛnhwɛ sɛ dompe atwa anka biribiara saa bi. Yɛpɛ sɛ yɛhwɛ sɛ ɔho tɛ ase paapaapa, na yɛpɛ sɛ yɛnim sɛ yɛnsɔ no akɔ baabi anaa dɛn na yɛnyɛ."
7,"Me pawoɔ kyɛw, asɛm kɛseɛ bi asi ha Wa Central na mhia mmoa ntɛm ara. Me din de Agyeman, na merefon fa ɔbarima kokoɔ bi ho — wɔfrɛ no Owusu — kar bɔɔ no wɔ ɔkwan so ha seesei ara. Abrantɛ no nyɛ sɛ koraa, ne nan yɛɛ no fɛɛfɛɛ, ɛsɛ sɛ ne dompe atwa yiye na mogya pɛɛ de retu firi hɔ. Ɔntumi ngyina anaa sisi ne nan koraa, na ɛyɛ no yaw paa, ɔda fam hɔ nko ara. Me pawoɔ kyɛw, yɛhia ambulance bi soma mmra ha ntɛm ara ansa na asɛm no agu biara biara."
8,"Me pawoɔ kyɛw, merefrɛ ama mekyerɛ mo asɛm bi a asi me nuabarima Kwabena ha Yendi. Ɔreyo adwuma bi efie — ɔretwɛ biribi wɔ takyire so na mese — na kakraa bi tuu fam de bɔɔ ne ti akyi. Me din de Appiah, mene nea orefrɛ no. Ɔse ɛnyɛ no yaw paa, eye kakraa ntɛm ara, nanso mogya bi wɔ hɔ, enti yepɛɛ se yɛhwɛ sɛ ɛho ye."
9,"Me pawoɔ kyɛw, biribi bɔne paa aka abofra baa bi a wɔfrɛ no Felicia wɔ Kumasi-Cape Coast ɔkwan no so, Mankessim nkyɛn. Mmarima bi sotoo no, wɔbuaa no yiye paa, na ne nsa no yɛ bɔne dodo — ɔntumi nsɛe no koraa, na ano ayɛ huu na ɛda wrong way so. Mene Boateng, mede me kar rekɔ na mihuu no ɔkwan no nkyɛn no so resu, obiara remma no boafo. Me pawoɔ kyɛw, mo nso soma onipa bi mmra ntɛm ntɛm, efisɛ abofra baa no mogya pɔtɔ pɔtɔ rehwie, na ɛsɛe sɛ ɔrebɛhwe ase na ɔanyɛ hunu."
