id,roundtrip_en
0,"I'm not sure, my son Kwame set up an accident here. Damongo today is in the rain of the room. He's having a door job today, but we're together with pragyia and he's dead. The foot goes to me, and we'll see the evenings and the parts are carved out of him, but he can open the foot when he comes, as long as we say the month is over. My name is Baffour. I'm kind of skeptical of someone I'm going to deal with something."
2,"Hello! I'm stunned! My brother Mensah, the prostitute responds to the Takoradi market's hair — it's not at first. The Motorcycle sees her, and she runs away with her hair, and she is killed with her hair and hair much more than with her hair in the murder. She reaches out and greets, but she goes to touch me. She is horrified, and swolling on her head. My writing is Nhyira — I'm not afraid right now. I'm surprised, someone come along with me, because I don't feel like you have gone out to her like — don't pull her away with her as if I were going to go ahead with her."
4,"I berate myself, I want to tell you about the incident in Kumasi-Tamale door, with Ejura natam. My name is Naa Dedei, and I congratulate you on the name woman, Nii, who has now received an accident at the door. That morning, one vote struck her, and she went on to make me more afraid of a child and a garden blood. However, she answered, and she posted. She didn't feel well, but she was fighting. I was skeptical, nobody joined her, as she had been right away."
5,"I have no doubt, what a bad thing you have done to me, and I have never heard of you again. My name is Appiah, and I have fallen in love with Abena's wife. She is in the very door of Kete Krachi and Dambai burabura, but what a bad thing has done to your door. She is doing her good job — she is not going to turn her sibling out of the market, just like the one who was now working as fast as quick — and they get worse with her child. She goes to me badly, and I can't go through with me. This sale is bad enough — it's not for the sake of issues. I'm just going to laugh, you bring someone to me, she and I have this woman, and I don't like this job about you."
7,"I've had a big sale here Wa Central, and I've lost to me right away. My name is Agyeman, and I'm in the name Owusu — I'll be very busy about it at some point. I've had a bad childhood very well, it's a low leg — it's been months late, and it's heartbreaking. I can't take the leg night, it's coming down, and it's going big for me — it's dry on my heart. I'll be shocked, you'll bury an ambulance here right now just like you're going to eat it."
9,"I'm not sure, the biggest sale made a girl they went to Felicia, at the Kumasi-Cape Coast door, with me Mankessim. Some people grabbed her more, they went larger, and a sacred market in most things alone — she couldn't pick up on her, and she was low and oversized. I know Boateng, I'm in the voice that I've come in, and I've seen her in the name of the door in the grave, no one has heard of her. I've laughed, I've been in good luck, I've been in charge of her — this girl is huge shock, and she seems to have given it to her."
10,"Allo, yême is Asare. I am conscious of the auction that made a creator of Elinam. Elinam blames jollof between his desk for Adenta — surely facing the ring from hand, and he also has a glance on the line habububbübübü, and the work between mouth-to-mouth adds glass and water in his hand — this name is on his hands at first price. The heart-hearteds are now explaining, and the blipsters — things of donation — are on the rise on his hand on this name. He's really going to me, and he's set me up, in order and I'm going to do it, but the infant who puts an ahuhu on his hand says it's still hard to voice. I'm sorry, you guys want us to rely on him now as soon as he understands it."
11,"Allo, I beriefactory, help me. My son Kwasi, Kojo my son. Today king, Kojo takes a job at his carpentry shop in Assin Fosu. One only has a job today, four months and two hands have worked, a vote by hand, and a heart spreads out — but his hand is free of law, it is dry in the night of night. We will deal with him, we will raise a password for him, but the child just reaches, my son, will not be a community and I will not answer him. Are you ready to accept prices or invite an ambulance? Kojo just awakes, many days not working — it is not good for you to go?"
13,"I'm skeptical, I'm afraid of what he did here in the Dambai. A very marketed girl Fatima — would vote OA tax on their door more, it was done by a cocoa sale, but the child got a cocoa job. My name is Edem, it's my own. The foot is drawn to them, and he is guilty of khakra and blue on the leg, but he steps on khakra, if and you say the job is not over. You'll be afraid to find out the area, to be able to cover it openly."
15,"Hello, my name is Kofi. I'm sorry, I picked up the phone where one of Asare's cousins got a sale by herself is where Cape Coast. People get from him, they see him crying with Asare, and one of them is taken from him. He has one cool head, and he reaches one very well, but he responds and tells me. I'm not going to be serious, but I want to make a statement that someone knows me."
16,"I belittle you, I berate you that I am hiding in what makes a life story, Kwabena, at the Cape Coast-Elmina door. Fire me! I hear a sweet one, I don't hear a big voice for a person, it's a hand-eye for a little more than i. The last world is not paying, but the eyes are sweet, purple, and it's going on me. I'm myself. I'm Ofori — I'm in the door in it and I'm glad I saw i as if I had seen it. This wife listened to her and told you — life story, I'm sure you got your person out. I've got a good stone, invited someone to see me, asked someone to see me well."
18,"Hello! I'm shocked. I'm horrified, I'm naïve, I'm naïve. I'm in Nhyiaeso, and my brother Selorm, I'm personally — he's dry today morning at home. He left a year ago on it, and he's fair, he's dry on the market. He just went to me — a kid scared and a snail, but he just went to me warm, and he found out in it. I don't think they are in big trouble. I don't care that I have different sales. I'm sorry, I'm proud of you — you got Selorm in hands, didn't you make you home now?"
19,"Unfortunately, one system here Bantama begins today's issues. A male girlfriend in the house, Issah — ten wins a job at the door, a white kerosene stove in the windshield, now pulling out of the gate, like the light, makes the child feel scared and scared of his child. Unfortunately, things will not be clear to the child, a child with those they have taken, his good promise, like something will not go out, but his promise in hunting, he reaches it. I am Kweku, I'm just going to be with him now but I have a plan when the plan is done. Look, there's someone who can see it, we're not going to be afraid that this is going to happen but you're not good to figure it out."
22,"I'm surprised, a sale on Cape Coast-Elmina's doorstep, and I'm afraid of what she did. My sister Ce Adwoa is in a misunderstanding that a vote would go up as if she didn't hear you — the vote came from the world, they just covered the misunderstanding. She is discouraged about her head, and she goes to me — but she is sure, she is right. Call her Selorm, I'm in the heart of the door. I'm laughing! I'm shocked, I fell in love with her here, because the heart is not right."
23,"Don't worry, good food comes from the climber in Tamale, in the family of a man. My brother Boateng, he will vote on the door of time, and they are placed on this bridge, but his foot is in a horrible thing — it is viral and heart beating along with it, we can't make it appear. It's any child, for ten years and so long, and it's raining down and it's time to pass, we can't see well. I'm not Hamza, I'm framing. I'm lonely, I'm helping us, first child, this shoe, because we don't know what we're doing."
24,"I'm not sure, there's a big sale here Asokwa, Kumasi — A wife who lives in Owusu, she has grown up in water, and we also call me well. She has grown up, but the bone has called out an old man with a bad name, she's not sorry, as things I'm doing in the mouth. I've drawn and listened to you for a moment, like a stick in the mouth, and we don't work. I was able to stay in Kwame — not just the street itself, I'm the owner of the house. I could barely wash my hand in water, but she did not write it properly — she didn't touch me well. I'm surprised, I helped me! Bring you ambulence here for a short time, because this Wife is getting bigger, and it's not the right thing to do with my culture."
25,"My name is Issah. I have rebuked them for giving them a fair sale where I live in Suhum. One woman's husband, Adwoa, set the front door to a distorted vote, and she was killed. Kaba did not — she betrayed him but walked away with me, and someone needed to see him well."
27,"I wasn't sure, a five-year-old sale called it right for a woman to head for Adum, Kumasi. Kwabena came out this morning — she stabbed her foot to the ground and stabbed them on the bone. She was in a life sentence, and the rest of you looked at me well. If she answered like a bone, and sent me to her as well, she could not worry about it. Like a woman, my name is Abenaa, my female child — she laughed, she answered, but wrote a story spread, and went to me very well. See someone a wa, because I can't really touch her."
28,"My name is Ofori. I am afraid to name you for the sale you made at the N1 highway, see the Kasoa. One wife, Yaw, meets — I say he is dead on the phone — and he is very late, too, and the hand is white for him but he is not buried. He already knows but goes to me well, and he can't reach it very well. Married if, we get someone, if we see me, we want our guy Yaw beat you."
32,"I have a lump in my throat, one thing made in the house I am in Dichemso. Owusu, this stepfather, is surrounded by one species — a bird is taken above and above. I am Amoah, I am afraid of him, but I always feel scared of him, I am in front of him and I am calm and I am in a way in front of him, he manages to see him and he reaches out to me well. He does not answer all but doesn't force me, his wife asks me about the symbol."
33,"Hello! I laughed, thanks to my sight! My Sister Araba got the sale started at the door of this theft — the door between Kumasi and Tamale, picked up Ejura herself. One vote hit the pitch, and Araba's head hit me in the head high — set me on the condition of gunpowder. She listened and laughed, but he laughed in, but he knew the language in it, and head was horrified. I laughed, you looked at me well, because we never knew we could get you any better and then didn't hurt. Get an ambulance! Look at me!"
37,"Hello! I'm stunned, I'm so sorry — my sister Abena, OA taxi hit her head Navrong, it's time just to worry. She's a very young girl — she's just under ten hands but. A vote hits her leg. But she's not in front of the job, she's perfect — she's very sick, she's dry, she's living well, and she's pretty cheap. Her foot goes to me for a short time, and more scary than she is. I'm Araba — I'm the person in charge of this strip. I've been honest, have you ever been trying to lay ahead with her now?"
38,"Allo, I'm single — my name is Ofori, and I've said things about a woman's actions here against me to Savelu with me, at Tamale-Yendi's door. Her name is Naa Dedei — she has a life sentence, she's a true husband. She's now working for a war door, and something's happened to her — I'll clarify what she did on a normal card about her. She went on to scare me off a child with her exterior, but she answered, her owner kept the environment telling me, and she didn't disperse — but she laughed at me. She's now with her, and she can't become involved."
39,"Allo, I berieuti! My brother Now they have purchased an accident for the example of Sume, Kumasi. He comes back today to vote on the door, but God will die — without dying. He goes to me with the garden and the child, and now he is voted on, but A Show is coming up and saying. I'm afraid Agyeman, I'm really going to be there. I'm shocked, I want to be safe to do something for him now."
41,"Hello! I'm stunned! I'm hurt! My brother Ce Yaw has made an accident on Accra-Kumasi highway, the coolman Nsawam. I'm Baffour's, brother's. I have a fidget for one vote to take care of her nose, the voice on the door. One person laughed at me suddenly, yell at me. Yaw understood her fear. The child is in the beginning of ten days and ten or ten days. Like something about me, she goes special to her child too, and I can't listen to her, and I can't listen to her. But she answered and stopped. I'm shocked! I'm just humiliated. Invite me, I'll be interpreted very often. Look at me, I'll be stoned!"
