id,asr_transcript
0,meɖe kuku vinyo nye kwa me woɖo aktsident ŋu afi sia damɔŋɔ egbe fĩi ele vɔ ƒe do wo le xɔ ƒe ŋɔlim egbea gake prazia ɖekae hĩ eɖe eye ewu fu afɔa yi nam nye ame eye miakpɔ vawo kple wo kpaawokpa le eŋu gake ele ŋu vuwo afoa neva neva nenya lé ɖe mi gblɔ be ɣleti vɔ o ŋkɔ nye bafo o medi ame aɖe me ɖe enyim be makpɔ e ŋu nane sia gbɔ
2,alɔ meɖe kuku kpe ɖe eŋunye nɔvie mesa abɔbɔyaa ɖo eŋu kpɔkpɔe takoraɖi market ƒe da la ŋu mele gbã o mɔtɔ la dzo kpɔ eŋu eye ewu fuka eye abo eyinɛ o
4,meɖe kuku meɖi be megblɔ aksident si wo le kuma si tama le vɔ dzi kpli medzura ŋu tam ŋkɔnyem enye naa ɖeɖei eye mefrɛ mi le ŋkɔ nyɔnu si ŋkɔe enye nii kɔ aksiɖent ŋu le vɔ dzi fifia ŋkeke ma o akɔ ɖeka wo ame di eŋu eye eyi nam be eyi nam wuleɖeviŋɔ kple abɔ ƒe vu dziwu gake eɖo edzi eye edzi ɖe amewo le gɔme eme nyuie o gake ele ŋu vam meɖe kuku ame aɖeke ni va kpe ɖe eŋu elabena ke
5,meɖe kuku nu si vɔ aɖe wo wo eye meɖi kpɔ ŋunye gagã ŋkɔnyaenya apia eye medze ɖe abena srɔnyɔnu ŋu ele ketekratsi vɔ ŋutɔ kple dambae kwatãa gake nu si vɔ wo eƒe vɔ dzi ele dɔwɔwɔ eƒe nyuie wɔm ele nɔvitɔwo totrɔ le asi o ale abe ame si nɔ wo ɖo fifia ene abe kabakaba ene eye wofo zu vɔ gagã eƒe ɖeviŋmɔ kple aboŋu eye nam vɔ gagã eye mate ŋu yii le yem o nudzadzra sia kpɔ vɔkaka mele nyawo ta o meɖe kuku mifrɛa maa ɖea va koko esi eye srɔ nyɔnu sia le ŋunye eye ɖo sia ka dze ŋunye le míafo dome o
7,meɖe kuku nudzadzra gãtɔ aɖe wo ɖe afi sia wɔa sentral eye meɖi kpɔ ŋunye enumake ŋkɔnyem enyaa dzeman eye mele ŋkɔ dzi owusu akɔ dze ɖe eŋu ɣeɣeyiɣi aɖe vɔŋutɔ o devi ŋutɔ mele nyuie o kpɔ eƒe afovɔ bɔbɔ ene zã ɣleti vɔ kpɔ eye dzi le etsotso gagã mate ŋu ɖe afo ŋu zã o nagbɔna wo megbu eye eyi nam gãgãa ele fu ɖe eŋu dzi ƒefe meɖe kuku miaɖi ambu la ŋti aɖe zi ɖe afi sia enumake esɔ abe wòaɖu eme nefe o
9,meɖe kuku nudzadzra gãtɔ wo ɖevi nyɔnu aɖe si woyi ɖe felistia ŋu le kumasika pe koas vɔ dzi kpli mankesim amewo aɖe le eŋu wu woyi wu eŋu gagã eye asi kɔkɔe le nu gãtɔ me ɖeɖe mate ŋu ɖe eŋu zi o eye ewɔ bɔbɔ eye egata vɔ to nyembo ateŋu mele akɔ dzi bena meva eye mekpɔ eŋu le vɔ ŋkɔ me le gɔme ame aɖeke megadzro eŋu o meɖe kuku mixa me dzi nyuie kpɔkpɔkpɔkplɔm o ɖevi nyɔnu sia dzi etsotso ga gã eye ekpɔ abe eme na vɔ etsɔe ɖe eŋu va ene
10,alɔ yeamenya sare mefre wo nya nuie ɖe nudzadzra si wɔ ame si wɔa elinam ŋu elinam nɔa fo dzɔlɔf le eƒo domefia aɖetã akɔsi dzi ŋgɔ tso asikpɔ ŋu vavãm eye etse tso ŋku hã fli dzi habɔbɔ eye do si le nu dome tso ahuhu kple tsivukpee le eƒe asidoa asi ŋkɔŋkɔ sia le eƒe asigbã di esiwo le dzi fifia le ɖem ɖem eye blister nudzɔdzɔ ƒe nuwo le yi dzi le eƒe asidoa ŋkɔ sia dzi eyi nam vavãm eye eɖo edzi le ɖoɖo kple mã wɔm gake wuievivi si tso ahuhu ɖo eƒe asidoa dzi la gblɔa be egayi vevie gbegbe ɖe gbeɖe meɖe kuku ko miana mi be miaɖo dzi trɔ ŋu ɖe eŋu fifia fifia ale afi si ela egɔme
11,alɔ meɖe kuku kpe ɖe ŋunye nye ŋutsu kwasi kɔdzɔ ɖeviam ŋutsu egbe fiaa kɔdzɔ xɔ ɖo le kapentri shɔp efa si le asim fosu ɖe ame le dɔwɔwɔ ƒe akɔ egbea ko lati kple asi eve ene woɖo ene akɔ zugli to asi dzi eye dzi le etsotso kekeke gake eƒe asi le zãzã nyuie miawɔ nudzɔzɔ kple eƒe asi dzi miatso nyagbe woanya ɖo eƒe dzi ŋu gake ɖevi la ɖo ko nye ŋutsu manye nutoto eye matɔ ŋu ɖo eŋu o mibɔ le xɔ asi asiwo alo mibɔ kpe ambulaŋtse ɖe ŋunye kɔdzɔnyɔ lɔlɔ ko ŋkeke geɖe medoa ɖo o menyɔ aɖeke aƒe ana mia yii
13,meɖe kuku meɖi gbɔ nu siwo wowɔ afi sia ɖe dam bae ɖevinyɔnu si le asi ŋutɔ ŋɔ fatima akɔ oa taxi ɖe woƒe vɔ dziwue nudzadzra kaklawoe gake ɖevi la xɔ ɖo kakla nye ŋkɔ nye eɖem nye ŋutɔ wo kpɔ afoŋɔ la ɖe wo eye ewɔ fo kakla kple boblɔe le afoŋɔ zi gake eɖe doa fo la kakla ne nye eye miagblɔ be do la gbɔ megã wo vɔ o miaɖi be woakpɔ eŋunutɔ be woanɔ eŋu gabobɔ
15,alɔŋŋ kɔnye nye kɔfi meɖe kuku mefo telefon la ɖe afi si ɖeka agbɔdevinyɔm asare xɔ ŋudzadzra toŋutɔ ŋu yeye nye afi kaperkoas ame ɖeviwo tso ɖe yeye afi wokpɔ ŋu wɔ ayaɖi kple asare eye ame ɖeka le wo mexɔ eta dzi ta zi le eŋu ƒe ɖeka eyeyegblɔ egblɔ dzɔdzɔmanye vevie loo gake medi nyagbe be ame aɖe ni nyanyem
