id,narrative_ewe
0,"Meɖekuku, vinyɔ nye Kwame wòɖo accident ŋu afisia Damongo egbe fiẽ. Ele ʋɔ ƒe dɔ wòle xɔ ƒe ŋɔlim egbea, gake pragyia ɖekae hí eɖe eye ewu ƒu. Afɔa eyi nam nye ame, eye míakpɔ vãwo kple wokpa wokpa le eŋu, gake ele ŋu ʋu afɔa neva neva, nenye ale ɖe mígblɔ be ɣleti vɔ o. Ŋkɔ nye Baffour. Meɖi ame aɖe me ɖe nyim be makpɔ eŋu nane esia gbɔ."
1,"Meɖekuku, meɖi gblɔ nami nu si wɔa afisia Tamale central. Ɖevi si le xɔ ŋunye — Kwame — ewo trotro dzi, akɔ ɖeka aɖe bubu tso dzidzime dzi na trotro la — eyata, akpe na Mawu, nu gãã medo o — gake Kwame ewu ƒu akɔ gbɔ la, ewo ɖo kple ta ɖe anyigba dzi. Ɖevi la le ƒe ewo ɖeka si alo etɔ̃ si gake. Dela wòɖoa ŋkɔ ŋunye, nye mefrɛ la. Ɖevi la dze ɖe agbe fifia, eɖo edzi, gake eyi wɔ be ɖo eyi nam kpui kpui."
2,"Allo! Meɖekuku, kpe ɖe ŋunye! Nɔvie Mensah, aboboyaa ɖo eŋu kpɔkpɔe Takoradi market ƒe ɖa la ŋu — mele gbã o. Motor la dzo kpɔ eŋu, eye ewu ƒu ka, eye eta kple eƒe ɖo ɖa ŋu wu ŋutɔ le wuwu ɔ la me. Eɖo edzi eye edze gbe, gake eyi eŋu ka Eyi nam ɖo ŋɔ dzi, eye swelling le eƒe ta ɖa ŋu. Nyeŋɔŋlɔ nye Nhyira — mele eŋɔ fifia. Meɖekuku, ame aɖe nava kpe ɖe ŋunye, elabena mitse abe nèɖe eyi nɛ abe o — mitsɔ edu eyi nɛ o le abe mado eyi nɛ ɔ."
3,"Meɖekuku, nudzadzra gãtõ wò ave afisia Axim. Ɖevi ɖeka si le nabesinɔla ŋunye — Issah — akɔ dze i ƒu ʋɔ dzi, ʋɔ si maɖi ŋgɔ dzi le ŋɔ la, eye wotsɔe wɔ va afisia. Gake ɖevi la ɖe ŋu ko o gã. Eƒo afɔ la yi gblẽ gblẽ — ekpɔm be ɣleti vɔ, eye dzi le etsotso gãgã, míaɖe egbɔ. Nyem enye Mawuli, mele ŋgɔ dzi ko afisia, eye eƒe nɔvilawo le afisia, gake wonya nusi wòa wɔ o. Meɖekuku, mi kpe ɖe ŋumí vevie, mi va siã nyuie, ɛ̃e ɖevi la enye ɖevi keteke, eye eyi nam gãgã. Djro nami!"
4,"Meɖekuku, medi be mégblɔ accident si wɔ le Kumasi-Tamale ʋɔ dzi, kplim Ejura ŋutam. Ŋkɔnyem enye Naa Dedei, eye mefre mi le ŋkɔ nyɔnu si ŋkɔe enye Nii xɔ accident ŋu le ʋɔ dzi fifia. Nkeke ma o, akɔ ɖeka wɔ ame dzi eŋu, eye eyi nam be eyi nam wu na ɖevi ŋɔ kple abɔ ƒe ʋu dzi wu. Gake eɖo edzi, eye edzi da amewo le gome. Eme nyuie o, gake ele ŋu ʋam. Meɖekuku, ame aɖeke ni va kpe ɖe eŋu, elabena eɖi kpɔ ŋunye tso enumake."
5,"Meɖekuku, nusi vɔ̃ aɖe wɔ wò, eye meɖi kpɔ ŋunye gaga. Ŋkɔnyé enye Appiah, eye medze ɖe Abena srɔ̃ nyɔnu ŋu. Eле Kete Krachi ʋɔ ŋutɔ kple Dambai kwata, gake nusi vɔ̃ wɔ wò eƒe ʋɔ dzi. Ele dɔwɔwɔ eƒe nyuie wɔm — ele nɔvitɔwo tɔtro le asi o, ale abe ame si nɔ wɔ dɔ fifia ene abe kaba kaba ene — eye woƒo zu vɔ̃ gaga eƒe ɖevi ŋɔ kple abɔ ŋu. Eyi nam vɔ̃ gaga, eye mate ŋu yi le yeyem o. Nudzadzra sia kpɔ vɔ̃ kaka — mele nyawo ta o. Meɖekuku, mi frɛ ame aɖe ava ko ko, esi eye srɔ̃ nyɔnu sia le ŋunye, eye dɔ sia ka dze ŋunye le mia ƒo dome o."
6,"Allo! Meɖekuku, kpe ɖe ŋunye. Nɔvinyɔ̃ɔ̃ Hamza wɔ accident ɖe Salaga fɔliƒe sia egbe fifia. Nyeŋutɔ nye Yakubu, eye mele ebe ŋunye nye, elabena eƒo kpe fifia. Pragyia ɖo asi eŋu ne afɔwo li ŋu, eye edo ƒu, gake etsɔ eɖe ŋkeke eɖeke ha, eye woaɖe numedede adeke na ame o. Eyi eŋu ɖevi ŋɔ ƒe dzɔdzɔe li be xɔxɔ, eye ɖe ame ene ƒe dzi, ɣleti vɔ o, eye nusro adeke me le eŋu o. Gake míeɖi nyawo ɖe da, mi su be Hamza le nyuie gem, eye míeɖi nyɔ be míe ɖe eya de asiwo ge o."
7,"Meɖekuku, nudzadzra gãtɔ aɖe wɔ ɖe afisia Wa Central, eye meɖi kpɔ ŋunye enumake. Ŋkɔnyem enye Agyeman, eye mele ŋkɔ dzi Owusu — akɔ dze ɖe eŋu ɣe ɣeyiɣi aɖe vo ŋutɔ o. Ɖevi ŋutɔ mele nyuie o kpɔ, eƒe afɔ vɔ bɔbɔ — enézã ɣleti vɔ kpɔ, eye dzi le etsotso gãgã. Mate ŋu ɖe afɔ ŋu zã o, nagbɔna o megbu, eye eyi nam gãgã — ele ƒu ɖe ŋu dzi fe fe. Meɖekuku, miaɖi ambulance aɖe zi ɖe afisia enumake esɔ abe wò aɖu eme eneƒe o."
8,"Meɖekuku, mefrɛ mi be maɖo gbe nu siwo woa ŋutɔ ɖe nɔƒe. Ɖeviŋɔ woyem Kwabena nye ŋutɔ kɔ afisia Yendi. Ele ƒu dɔ le ƒe tsi — ele nudzedze le ƒe dzidze ŋu, mehã xɔ gbɔ — eye nubabla ɖeka vɔ do lala le eƒe ta emegbe ŋu. Appiah woyem, nye ŋutɔ wofɔ telefon elabena. Eɖe be eyi enam gawoe, eye nudzedze si bia wo nye abrabra ɖeka, gake dzi le etsotso kakakaka nu, eye míaɖi be míakpɔ ko be nèvo anyi."
9,"Meɖekuku, nudzadzra gãtɔ wɔ ɖevi nyɔnu aɖe si woyi ɖe Felicia ŋu, le Kumasi-Cape Coast ʋɔ dzi, kplim Mankessim. Amewo aɖe lé eŋu wu, woyi wu eŋu gãgã, eye asi kɔkɔe le nu gãtɔ me ɖeɖe — mate ŋu ɖe eŋu zi o, eye ewɔ bɔbɔ eye ega ta vɔ tɔ. Nyem Boateng, me le akɔ dzi bena mevá, eye mekpɔ eŋu le ʋɔ ŋkɔme le gɔ̃me, ame aɖeke megadzro eŋu o. Meɖekuku, mixa ame dzi nyuie, kpɔ kpɔkplɔm o — ɖevi nyɔnu sia dzi etsotso gãgã, eye ekpɔ abe eme na vɔ etsɔe ɖe eŋu vá ene."
