id,asr_transcript
0,ofai nɛ debibi kwamɛ atsidɛntehi eŋdamɔŋɔ afei anɔ ohekpee ni lɛ market koŋashi praia bi ebɔ eŋ ebumɔ fe boehiibaŋ mii hu kutsi ni skratses ni lɛ gbo eŋa shi ŋmɛtumimove gbɔɔ ekakra yɛ naaahɛfraturo bafɔɔ yɛ miŋmɛbaŋ tsãalɛ miboonii ni boa mi he mido heɔ eŋa shi ni
2,heloo fainɛ bua mi oba mi mɛsa abɔboyaa bumɔnɔ kɛ takuradi market aria ni teŋ kɛ yɛ moto nɔ bumɔnɔmaŋŋ obumɔ wɔ fe kɛ ŋwɛi kɛ ŋwɛi fe naaoni lɛ kɛ okaŋ nyɛŋwɛi fekpee nɔhii nɔ he fe kɛ swɛlembi wɔ ŋwɛi naa shishi mɛhemɔ bi mli shi bua miiyeyeŋ yɛ miishiŋ tonɔ ba kɛ enyɛhãŋ mɔ ni yɛnaŋ bɔnɔ yaŋ
4,ofai nɛ mibi report atsident bi eyɛ kuma si tama lɛ road sɔmeohere niia ejara mi diŋ binaa dedee mifrɛ aba nɔ nii oblɛbi obumɔ aktsident kɛ road nɔ mlikaa bi etsu mi ni enyɛ ehii mi kɛgbo kɛ shi arias too oni lɛ orinya response so enimɔgbɛo ofe kɛ strugle smao kɛ oremanagɛ ofai nɛ nɔŋ bi obi ebabua mi hãa ni ehi atɛntion fasfas frɛ ambulanse tsalɛɛ
5,ofai nɛ sɔmetiŋ serius aba shi mihiã bɔ mli kɛ nɔ wɔ mitsɔ apea mifrɛfrɛ shikpɔŋ biaa wɔ abɛna gbɔmɔnyɛ shi wɔ aako nɔ kpeee kɛtɛkratsi ni shiko dam bai fe oshɔ load kɛkɛ wɔ ejie wɔk fe ni abɔ o kɛ tete gbɔ ni shi ehii okɛ daa daa ohii pɛpɛpɛ eni momo vigbɛ tsaalɛ injiribi yɛ fe serius bɔmɔnyɛ ni yɛ nɔ too mɛmɛ lɛ hiaa ofai nɛ ofai nɛ frɛ ambulante shi ba nɔ wɔ yɛ tumihandle nɔ he ni yɛ bɔo
7,ɔfai nɛ sɔmetiŋ serius abe harpen fe wa sentral nii mɛhe help ugentli mɛdiŋ do ajeman ni mɛhe kal yɛ yuuman bi wɔŋfrɛ no wusuu kaa bumɔnɔkpee fe enyo shɔtimii ado oblɛnɔnyi ado otsalɛ ɔnɔ gboshie fe kpee sope fa ne yɛ hɛ ambulantɛ ni bɛ jekɛko fas fas ehã situashɔn nɔ gbaa wɔ ko
9,ɔfai nɛ sometin veribad ehi felishia oblɛbii wɔkuma si kaperkoas ruad la maŋkɛ sim fe nɔ bi bɔŋŋ wɔshɛ wɔblɛŋi kɛkɛ nɔgbo la enyɔ fe enyɛ mi mɔ viŋ bi o enɔ ebɔ nyɛ nɔ kpo wɔmɛi mɔ ko mɛnyɛbo ateŋ ŋmɛ loo kaa wɔ kpee la hui wɔkpee fefe enyɛli ŋmɛ bihe bɔŋ o ɔfai nɛ hemi nɔ mimitsɛ onukpa bi fas waboo debi la shwɛi tsɔtsɔ bebii ninɔ enyɛli kɛefai ɛ
10,obɔ ni lɛ oshe nɔ ko nɔ wɔ jolof kokokoko flaatiŋ ni lɛ adenta preshuri ni lɛ poti nu shi lidbumɔbumɔ kɛkɛ siam kɛ nishe ekpoɔ ebumɔ gbɔ mli ni lɛ foriam skiŋjɛlɛkɛ ni kɔlɔ nyɛret kɛ blisas daŋshɔŋ ko lɛ mli ehi ni hii hii fe oni lɛ oshe nɔ ko nɔ kɛ mɛi oshi nɔ wɔ nihii ehi ni fe kɛ eborɔborɔ tsalet bɔ ni dofe miserios kɛ bimɛ mɛhe mɛ ni wie je mɛi ni sɛɛ ofai nɛ nɔ bɔ elinamhi la mi ni hiɛ omɛ wala nɔ
11,eloo tsa lɛ mɛbio kojoo obumɔŋ ni wɔ afɔ ebumɔ nii he kapentrishɔp shi lɛ asifosu na wowo kɛlɛŋmumɔgbɔ ji abio teeteyɛ biokwasi mɛni hospital anaa ɛdɛ hospital anaa yɛte yɛ hiɛŋwɔtsɔbɔɔ ɔfainɛ bɔ mitt
13,ofaine mɛbi kɛ repot bɔ ni etsɔ wɔ hã dambai mɛnɛbɔ bi nyɛ debi fatima oataibumuwɔ kpemɛninɛ edɛ mɛ nɛ ofrɛ ebikuto wɔŋ boostee
15,heloo mina mɛyɛ kofi mifra lɛ report bii shinaa nɔ miyɛ asare oyɛ mimanyɛ oblɛ shi naanɔ ehii lɛ ebakapekoas yɛ ni shĩ akɛ bois bi nɔ kɛ hee wɔhe asarefait nɔ bishwɛ eni ŋwɛi ni ŋwɛi ni kut kɛkɛ lɛ bi lɛ oshi nɔ onyɔ bihii ni wɔ kãaserus
16,ɔfaine mitsɛ o kal bi frɛ shikpɔŋ ni ehiɛ gbɔmɔ bi kwabɛna lookapekoas elumina roadiŋ ehiɛa eyi ni ehoŋ mitsɛ ɔ hot likuid bi kɛ shĩanɔ bi bumɔ eŋbɔŋ enimɔ depo yɛ skiŋ nishɛɔ jɛ kɛ ehi mi shi naŋ mii ofɔre mibiikpee nɔ mikpeee ni bua nɔ bɔmɔanɔ sane mi nibii yɛ oni lɛ kɛ otsumɔ yɛtsɛ onukpa bi ni oyi shi kɛ tsɛk nɔ wla
19,ɔfai ni sɔmetiŋ hapen herebantamatis ate nɔ nɛbɔ miba isa onɔ nɛ di ade ruaidefotaadeka ose wɔnyɛshe ni so tretment anaa onɔ kasa yɛ finɛ kwɛkude mibekɛ onɔ shi naa ni hapen onipa biyaa bɛtsɛkɛ onɔ bɛka ose wɔnyɛshe niso tretment anaa
24,ofai nɛ sometiŋveri bad abo wahã asɔkwa kuma si gbɔmɔ bi wɔ owusuu eni nɛali droned mli naaanɔ yɛ okpakahegbɔi eni homɔ lɛ kɛ homɔsho slo wɔ wea kɛkɛ naaanɔ ŋwɛi wɔ enibosho veri sɔlem wɔsraŋɛ tsalɛ sɔmetiŋjɛbali rɔŋ nsideŋ miikwamɛ miŋwɛi nɛɛbɔŋ naaanɔ mɛ yɛ li lɛ ni jɛi sɔ mli kɛ eni respondiŋ wɛloo shi ɔfai nɛ yɛ hiaa help ni bɔ wahã fefe bɔmɔ ni naaanɔ msho veri serios kɛkɛ ɛ
25,minyɛ isa miefrɛ mɛ report aksident bi shi suhuu he bɔmɔ bi adoa oreye kpeee tso natrotro bi kpaa nɔ na obumɔ fe enimɔ bi serios paabo shigboonɔ obi nihii nɔ mli na kut kakra bi lɛ he otumi yii gbɔnɔ kakrakakra shi oyɛ ned sɔmɔba lɛ tsɛk nɔ pɛpɛpɛ
