id,asr_transcript,translated_en,injury_type,mechanism,severity,body_region,victim_sex,victim_age_group,location_description,first_aid,lat,lng,facility_name,facility_dist_km
0,n daa m bia komike atidin kuu ohinka damɔŋɔbi tiyi yɛla o bi nyaŋ ti lahi maa marikɛt pam ka pirajie buɣo a o gbini o tiŋ yɛligu o daa ka ti bia nyɛ zaɣili ayi la o tiŋ zuɣu amaa o dii tiŋ ti lahibihi doli ka ti gba yi o tiŋ pɛhim n yɛligu din be n yuli ba foori ka m bɔri wunto yini o ti nyɛli maa nnaŋ mmo o ŋmani dim n ni motia,"I killed my child's head with a stone and he didn't succeed in burning the bush so he was bound to say that our child was a double-edged one in his mother's womb, but he went on foot after his mother-in-law and we also took off his father-in-law's house and took off his father-in-law's house and made him appear to be the same name as his father-in-law.",unknown,unknown,unknown,unknown,unknown,unknown,unknown,"The report received is unclear and does not contain enough coherent information to identify a specific injury, mechanism, or victim. If a child or any person has been hurt, keep them calm, still, and comfortable while you seek help. Do not move an injured person unnecessarily, especially if head, neck, or back injury is suspected. Go to the nearest health facility immediately.",,,,
2,alo n daa sɔŋ maa nuo maa min sah abɔboya daa ŋmi o kɔŋ takura di marikɛt kɔŋ ka o bi daa ye o gbini ka yɛligu daa ka ŋun ni o kolim kɔŋ daa yɛligu paɣ ti soli baa o nyɛ o maa yɛla o guri zaɣa amaa o zaɣiri ka o ŋun nɔhi li ka yɛligu daa ka ka o wari ka o maa ti kpe li n yuli ni nʒira nkɔŋ o taba m bee ni yi fire am bulan chɛ maa ka ŋun bɔɣili kɔŋ mpu ŋmani bee ti ni daa nyɔɣ o ka o tibibu zani yi kpe ka yi sɔŋ ti,"as he was helping his father-in-law and his father-in-law and his father-in-law made him fall ill-gotten so that he didn't have to lie on his back without saying that the man had to tell his dog that he was going to run after him, but he refused to do so and so he was forced to do so in order that his name might be put to death so that his father-in-law or his father-in-law could not be confused with him or his father-in-law and his father-in-law and his father-in-law and his father-in-law and his father-in-law and his father-in-law and his father-in-law and his father-in-law and his father-in-law and his father-in-law and his father-in-law and his father-in-law and his father-in-law and his father-in-law and his father-in-law and his father-in-law and his father-in-law and his father-in-law and his father-in-law and his father-in-law and his father-in-law and his father-in-law and his father-in-law and his father-in-law and his father-in-law and his father-in-law and his father-in-law and his father-in-law and his father-in-law and his father-in-law and his father-in-law.",unknown,unknown,unknown,unknown,male,unknown,unknown,"The report provided is incoherent and does not contain enough clear information to determine the nature or extent of any injury. If someone has been hurt, keep them calm, still, and comfortable while help is sought. Do not move the person unnecessarily, especially if a fall or trauma is suspected. Monitor their breathing and level of consciousness closely. Go to the nearest health facility immediately.",,,,
4,n daa m beyeni ngoli achidɛnt din kul kumasi tamali nyaŋkara i jura siɣibu nyɔri na a dɛdee ka m beyeni n goli yɔɣu din kul bia biɛla din din yɔri nii o achidɛn pulo nyaŋ zuɣu ka ka di ke di sim ka a gbaai o tɔɣa ka o yɛligu ka yɛligu mpaai o diɣindi ni o pam dol o yɛligu paai o bɔŋ amaa o ti soli ke o mɔɣɔ kaani o nyuɣu ni ŋman zi o ti di kpam amaa o bi tooi tooi ka yɛligu ndaa yoli yilili kpamma o bɔrila sɔŋ ka di nya so biɛla di mi suɣilo yi yi maa chɛ sɔŋ,"I was going to join the kapok-leaf-soup to get the chanced upon, but I am going to go to the bush near the child's yam mound so that it is quiet and you can catch up with him and say things which are difficult for him to say and so that his words may come true and he may come up to his aid but he has gone home to the bush reading his yam and to the baobab tree, but he can't get the chief to remove the baobab from his yam; he is trying to find someone to find out the little one who is sorry for trying to help him.",unknown,unknown,unknown,unknown,unknown,unknown,unknown,"The report provided does not contain any clear or identifiable injury information — it appears to be incoherent, figurative, or mistranslated text that cannot be used to determine what happened or who was harmed. No first aid guidance can be responsibly given without knowing the nature of the incident. If someone is injured, keep them calm, still, and comfortable while help is sought. Go to the nearest health facility immediately.",,,,
5,n daa ka yɛligu daa naɣi ka m bɔri sɔŋ ka ziŋli n yɛligu a pia ka n firi n yɛligu ka o bee nindaan o yɛligu a bina o bee ka kiti krachi nyaŋ daɣili bee dambai o bee ka o daa sɔŋ o too suhudiri doo o daa zaa naɣ o nya ka yɛligu o diɣindi ni pam beo ka o zalim ka yɛligu bee o o titoli soli daa k o yɛligu daa nyɛ o maa ti wuhiri yɛligu ndaa yi fir o sɔŋ kayi wa ka zaŋli bɔri ka o nindaan ni ka yɛligu wuhibuɣili ti nyɛ ti titoli soli ndeeni,"I didn't say a word in vain, I wanted to help but I didn't say it was because he or she didn't say anything to you when you asked for it, or because he was kind to her.",unknown,unknown,unknown,unknown,unknown,unknown,unknown,"No clear injury details could be identified from this report. If someone has been hurt, keep them calm, still, and comfortable while help is sought. Do not move them unnecessarily, especially if a head, neck, or back injury is suspected. Ensure the scene is safe for both the victim and any helpers. Go to the nearest health facility immediately.",,,,
7,ndaa yɛla gbana konti ye ka yi ni sɔŋ maa tuma nyi yɛla ajɛman ka m bi yɛligu o wusu yɛla kaa gbini o nyaŋ so ka kpɛŋ bɛ bia ka yɛla ni m maa daa o tiŋ yɛligu daa o tiŋ kpari tuu ka ziim bee o daa paɣi o tiŋ bɔro tooi kpɔŋ waani lahi ka yɛligu ka o niŋda o bi nyɛ fɔŋ o gba tuma zuu so ndaa yifiri an bula chɛ yi ka bɛ bi m bi ye ni yɛla ni kpari biɛla,"the letter of the book of the law says that if you don't do anything, I don't say anything about his name and he doesn't say anything about his name and he is not talking about it, and he is not talking about it with his child or about it with his mother-in-law or about it with his mother-in-law and about it with his mother-in-law and about it with his son-in-law and about it with his father-in-law and about it with his son-in-law and with his father-in-law and with his father-in-law and with his father-in-law and with his father-in-law and with his father-in-law and with his father-in-law and with his father-in-law and mother-in-law and father-in-law and father-in-law and father-in-law and father-in-law and father-in-law and father-in-law and father-in-law and father-in-law and father-in-law and father-in-law and father-in-law and father-in-law and father-in-law and father-in-law and father-in-law and father-in-law and father-in-law and father-in-law and father-in-law",unknown,unknown,unknown,unknown,unknown,unknown,unknown,"No injury information could be identified from this report. The text does not describe any incident, injury, or victim. If someone is injured, keep them calm, still, and comfortable while help is sought. Do not move an injured person unnecessarily. Go to the nearest health facility immediately.",,,,
9,ndaa kul bia maa ka paɣa bela la baa yili fɛlisia o nyɛ yɛligu daa ku kumasi kapikus nyampɔŋ mankɛsim saɣim ni bɛ kpɛmbu dol o ka ba a nya o paɣa a ka o nuu nyɛ yɛligu daa tɔmtɔm o daŋ soli o nuu tuma kuli ka o kulɔɣɔ kaa ka nyɛ sɔŋsim nyiri botɛm mbizi kaa la yi nyaŋpɔŋ ka n nyɛ o nyaŋ doli ngbini o bi yɛri ka ni bɛ kuli daŋ sɔŋ ndaa ŋɔ yi tuma ni ba la ka baa di zɔŋ ka bu wa sɔŋ o barika bimba la o ziim geya paɣa daa tɔmtɔm o nyɛ ni o daa ti zaba,"while the child was still alive, the woman was at the house of the dog’s father-in-law. he said that he would not allow them to kill the young man for their part so that they would see his wife with her hand, so that they might take her and the woman with her hand and the woman with her hand, who was carrying her father-in-law and the woman with her father-in-law and the woman with her father-in-law and the woman with her father-in-law and the woman with her father-in-law and the woman with her father-in-law and the woman with her father-in-law and the woman with her father-in-law and the woman with her father-in-law.",unknown,unknown,unknown,unknown,unknown,unknown,unknown,"The report received is unclear and appears to be a translation or transcription error, as it contains repetitive and incoherent text. No specific injury type, mechanism, or victim details can be reliably extracted. If someone has been injured, keep them calm, still, and comfortable while help is sought. Do not move an injured person unnecessarily, and try to control any visible bleeding by applying gentle pressure with a clean cloth. Go to the nearest health facility immediately.",,,,
10,n yuli asari nfiri ka n yɛli guribu bɛ wuhigu din gbinni biɛla kɔŋ o yuli elinam o daa ka jollɔf din adinta o yili kon doo kotopɔto din bi pɔtikon daa o kuɣa gbiri ta a ka nyandaanam ka yi mali ka buɣim mi ni yi taɣili o nuu kɔŋ o golim bee ka doo o nuungbannim zɔŋ ka baɣisi bee ngbahiŋ o nuu zuɣu ka yɛligu bee o paɣi o ti wuhi ka o gbari a kakaa soli nka yɛli ka yɛligu bee o chaŋ ka chaŋ ka paɣa ti bɔri n ni ti bi yɛli din ti ma mali li di chɔŋ omaŋ doo ka ŋmani,"I love the fats and I will say to them that there is no meaning in their minds to the extent that they no longer have any understanding of his name. He had no choice but to lie on his back and sleep under his own feet, so that a woman should not tell me what happened to him or what happened to him or what happened to him and what happened to him or what happened to him and what happened to him and what happened to him and what happened to him and what happened to him and what happened to him and what happened to him and what happened to him and what happened to him and to what happened to him and to what happened to him and to what happened to him.",unknown,unknown,unknown,unknown,unknown,unknown,unknown,"The report submitted does not contain any clear or interpretable information about an injury, victim, or incident. No structured injury details could be extracted. If someone has been injured, please keep them calm, still, and comfortable while awaiting help. Do not move them unnecessarily, especially if a head, neck, or back injury is suspected. Go to the nearest health facility immediately.",,,,
11,alo n daa m bela kojo o gbini yɛsiti bɛ ni o daa bi kpaŋ karipantari yili ka o goli be ka wuhigu o nuu kpaŋ din gbini o nuu ka cpɛh o suɣilo ziim bee o nuu la amaa o nuu kpaɣa ka o tɔhigu la daa niŋ mali yɛla maa n yuli di kɔɣisi ndi o baaba ti lahiti zul o o nuu suɣilo ka ti gbantaba o nuu zuɣu amaa m bɔri n zaɣi amabiɛŋ ka niŋdi ndaŋ ni o tumbia la ka m bɔhisab bia ti bɔri nkpe o niŋdo wa ka niŋ pahila naa n daa tsɔm maa n gba yɛli maa nniŋ,there was a man under his kapok tree who told them that he was not going to go to the house of the carpenter and that he was going to show him how to put his hand through the blood or the wine but his hand was heavy but his hand was heavy and the knife was so blunt that his father could not hold his knife and put it on his arm and put it on his shoulder but I wanted to make a mark on his ear so that my servant's son would just want to do this and make it known to the king that I had learned from him.,assault,"knife or sharp object applied to arm, shoulder, ear",unknown,multiple,male,unknown,unknown,"A person appears to have sustained a wound involving a sharp object to the arm, shoulder, or ear area. If there is active bleeding, apply firm, direct pressure to the wound using a clean cloth and do not remove the cloth if it becomes soaked — add more material on top. Keep the injured person calm, still, and as comfortable as possible while help is sought. Do not attempt to probe or clean deep wounds, and watch for signs of shock such as pale skin, rapid breathing, or loss of consciousness. Go to the nearest health facility immediately.",,,,
13,n daa m biyini ndir shɛl nyɛ ka o kɔŋ dambai ntariga biɛla fatima o tagsi gbin o nyaŋ zuɣu achidɛnt ayi doodoo amaa biɛligu yɛligu maa nyaligu din fire n yɛligu la adam o tinzuɣu kɔri bio ani o tinfuɣiri kpabi amaa o daa daa diri laɣim ka ti nyɛ ka a yɛla ka o yɛligu wuhiri paai ti bo ndaa ka dɔɣi ti nyɛ o yɛli o zuɣu biɛŋ,"I was thinking of something he couldn't get a small piece of wood to put his tag on his head two times, but the parable of the baby that came out of my mouth fell on his head and broke his head again, but he was eating together and saw that you were talking about it so that a baby would tell him about it.",assault,struck on head with wooden object multiple times,severe,head_neck,unknown,unknown,unknown,"The victim appears to have sustained a serious head injury from being struck with a wooden object. Do not move the person unnecessarily, as head injuries can be unpredictable and dangerous. Keep the person still, calm, and lying down with the head and shoulders slightly elevated if possible. Do not give the person anything to eat or drink, and do not leave them alone. Go to the nearest health facility immediately.",,,,
15,alo n yuli nyɛ kɔfi m bi bɔri yɛli ndeem wuhigu din naɣ m mamba asali ni yɛligu ndiɣim kolim kapɛkoas biɛsinima bɛ ni nalibu ka bɛ dinsi soli o ni ka o yini doo di o zuɣu o zuɣu gbaŋ biɛla be ka o kpɛŋkpɛŋ yɛligu biɛla amaa o tili soli o nya yɛla o bi gbiri ka din yɛligu ka daa ti bili bili amaa n nima bi so ka suɣim doo nya,"Also, my name is coffee and I don't want to speak in the name of my mother or in the name of my mother or in the name of my mother or in the name of my son or in the name of their mother or in the name of their mother or in the name of their mother or in the name of their mother or in the name of their mother or in the name of their mother or in the name of their mother or in the name of their mother or in the name of their mother or in the name of their mother or in the name of their mother or in the name of their mother.",unknown,unknown,unknown,unknown,unknown,unknown,unknown,"No injury information could be identified from this report. If someone has been injured, please keep them calm, still, and comfortable while help is sought. Do not move a person who may have a serious injury unless they are in immediate danger. Go to the nearest health facility immediately.",,,,
