id,translated_en
0,"I'm sorry to come to Kwame for the last time, when he was going to cross the road, he fell and broke his leg and we saw him and his family on his leg, but he was able to catch up with me, so I wanted someone to tell me what happened to him now."
2,"I am sorry for the kind gesture of boy-in-law, and it is not about time that you bought him, and he fell down on his head and his neck, and we are talking about him, but he is saying that we are the kind of person who was on the other side of his mind and who is on the other side of his mind, who is on the other side, who is on the other side, who is on the other side, who is on the other side, who is on the other side, who is on the other side, who is on the other side, who is on the other side, who is on the other side, who is on the other side, who is on the other side, who is on the other side, who is on the other side, who is on the other side, who is on the other side, who is on the other side, who is on the other side, who is on the other side, who is on the other side, who is on the other side, who is on the other side, who is on the other side, who is on the other side, who is on the other side, who is on the other side, who is on the other side, who is on the other side, who is on the other side, who is on the other side, who is on the other side, who is on the other side, who is on the other side, who is on the other side, who is on the other side, who is on the other side, who is"
4,"I want to say to you that I am not going to tell you about a hard attack on the Tamale road. My name is called on a small man who was called in the car and who was fined for his stomach and Christmas, but he still finds himself still alive, but I am doing so to apologize to everybody because he is poor because he is poor."
5,"I'll forgive you for what happened and I need my immediate help to open my name, and I'll call on the name of an old man, who is working near the corner of the road, and who is carrying the load and the name of the person and the name of the person who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the"
7,"I am pleading with you that there is a big problem in the middle of the crisis, and I need my immediate help to get rid of a man who is"
9,"I have forgiven you for something wrong with the last thing that happened to a child named Felisiah, who killed me on the road, and I have been very angry with some of the men who had not been able to hide his hand so that I could not hide his hand so that I could catch my car and I could catch up with him and I wouldn’t blame you,” he said."
10,"My name is called on you because there is something that is about to happen to a child who is eating a lot of popcorn in his flat, and there is a lot of pressure on the mouth, and there is a lot of water in his hand, and there is some kind of pity that he has seen himself and is reading, but he is very angry and changes that we want you to tell us what we are going to do for him right now."
11,"Asamoah didn't listen to me and I didn't listen to him and I didn't help him with the work of the carpenter, so he was a little bit late, so he was a little bit bloodless, but I just wanted to wash his father and tie him well, but I'd like to suffer because he was a little boy and I don't know if we should take him to the hospital or something."
13,"I am sorry to say something that happened here on the other side of my father-in-law’s father-in-law, on the other hand, on the other hand, on the other hand, on the other hand, on the other hand, on the other hand, on the other hand, on the other hand, on the other hand, on the other hand, on the other hand, on the other hand, on the other hand, on the other hand, on the other hand, on the other hand, on the other hand, on the other hand, on the other hand, on the other hand, on the other hand, on the other hand, on the other hand, on the other hand, on the"
15,"I'm calling on Kofi to report on my brother's disappearance and that he is in our house, and there are some men who came here and forced him to go red, and one of them answered him with a slight headache and his neck is a little hurt, but he is speaking badly of himself, but I want to know that no one knows about him."
16,"I'm begging you, please, to tell me something that happened to an old man who was on the path of galamsey and galamsey, as if I were on the run or something that was on the verge of his arm or something that was on the verge of his arm and I saw him and I was born as an adult, so I was glad to see him and to say that someone who came to see him was going to see him."
18,"please, please help my husband, Salrom, who fell down on the floor and stole our house, working on the floor and sitting down on the floor and sitting on the floor and sitting on the sofa and holding my name on the floor to make me a pain to his stomach and neck, but he can get up so I don’t think it’s going to be very hard to find out if we have to take him to the hospital or not."
19,"I am sorry for everything that happened on the other end of the day, when I am not going to go there to eat food on the road, then the car is set up, so the fire went out, and the heat came out, and the heat, and the heat, and the heat, and the heat, and the heat, and the heat, and the heat, and the heat, and the heat, and the heat, and the heat, and the heat, and the heat, and the heat, and the heat, and the heat, and the heat, and the heat, and the heat, and the heat, and the heat, and the heat, and the heat, and the heat, and the heat, and the heat, and the heat, and the heat, and the heat, and the heat, and the heat, and the heat, and the heat,"
22,I am pleading with you on the way here to tell me that my sister has been safe or in a slippery state and that a new car hit them from where they were not chanced upon and that they had broken their heads and said that they were not going to see her but that they were not going to get along with me and me on the way to the sidelines where someone’s law protected us because the blood could not come out.
23,"I'll forgive you for something wrong, and I'll catch up with you, and I'll catch up with you when you come back home and bring him here, but the last thing that we can’t do is that he’s a child who’s crying and crying, and we’re not going to get rid of him and I’ll call him in the middle of the day because it didn’t get rid of him."
24,"I have forgiven you for something bad that has happened here in the cave and I have killed an old man named Asamoah, and we are afraid of him who is still breathing, but he is still breathing, and his head and neck are burning, and I need to get rid of my name, and I am the one who pulled him out of the water, but he will not hesitate to come here very quickly because this man is a great and dangerous man."
25,"My name is called on to tell me about a hard catch that happened on the road when an old lady was bitten by a hoax and threw the heavy rain on her, saying that she was a little bit of blood, but she needed someone to take care of her."
27,"I am pleading with you that my father-in-law, on the other hand, killed Kwabena in the morning, he was afraid of the area close to the door, so he was very afraid that his neck was dry and that he could not move well with me and my daughter and now he finds himself, but he feels that he is very sensitive to the law."
28,"I'll call you from there to pick up their kehwai so that every old man, who came down to think that he was walking along your way and that he was also able to get a little bit of his hand, but it is so painful that he can’t stand his feet without the help of a young man."
32,"I have been apologizing for something bad that has happened to us for years, and there have been a lot of men who have been bitten by the head and neck of the deceased who have been bitten by me and by me and by me and by me who have been"
33,"My brother, Araba, has been on the sidelines of the road since the end of the day, having been killed on his way near a parking car, and having answered his neck correctly, he is speaking to himself, but like everyone who doesn't understand him and who is very nervous, I am very confident that it is whether it is that we need help quickly."
37,"A mother-in-law, who has a car in front of our house, is a child and a child and a child who is about the age of eighteen years, is alive, but she is still not aware of anything or has nothing to do with it, and I am speaking to her and to the person who is calling on her to apologize for trying to convince her to focus on what we are doing now."
38,"I am pleading with you to give you my name, and I want you to say something that happened to an old woman here, so you are known as a good manager who was working on a road farm, and I hear that because of the sympathy she was going through, she is also feeling sorry for her mother-in-law and back, but she is already talking to herself."
39,"I apologized to my sister and she said that she had learned from me, not from the distance, but from the house, she was knocked by a car, but she was not afraid of us and her father-in-law and mother-in-law."
41,"My brother, on Wednesday, killed himself on the sofa and I were invited to a seat with my brother when he was about to cross the road to tell me that we were good-looking with the fat and the livestock."
42,"I'm sorry to say something about the galamsey incident in the evening, when I was brought back from the market, there were some men who wanted to take his money to the mine and answer his offence when he wanted to persecute her and now that the crime was bloated and couldn't be lifted."
44,"I am pleading for a great deal of apology, and I have given my boss, who has thrown the man into the ground and has put a lot of pressure on his one leg so that we can ensure that it is very appropriate to share the law of your support and that we need help"
45,"I'm going to ask you to come back to Abigail when he was speaking to you on the way from his young daughter-in-law and to the age of 10 to serve me and her mother’s name on the sofa and there is a little bit of a hole in her head, but she is speaking to us about all of this, and she likes him, but I want everyone to know what has happened."
46,"I am pleading that there is something wrong with you that I need to talk to a friend about it in the manner in which some people hit him on the head and his neck is painful, but he is still talking to himself, so I don’t know that my name is so strong that I was with him when someone else was not helping us or that he made us realize that we are not pretty funny."
47,"I'd like to say something that happened to me in my name, Felisiah, and I'll take you out of the house this morning, and I'll pick you up from the house, and I'll pick you up, and I'll break my arm, but I'll be able to pick it up and pick it up and pick it up and pick it up."
49,"I am pleading with you on the other side of the road, one of the children, who is sitting on the grass on the road, my name is on the street, and I am sitting on the street,"
52,"I have made a very difficult plea for you, and I need help as soon as I can find a babysitter who is sitting in the river and sitting on it for a long time before we can wait for him to bring him up and see who was"
53,"I'm begging you for the kind gesture that was going to happen to your child’s father-in-law, my father-in-law, who has thrown you away from a big oil tree in front of the house, and the road to your house is not so large that it is"
54,My name is
55,I'm sorry to say that I’m a little bit jealous of the girl who came near the market when she was a child who didn’t come to the house without knocking on her neck and also had a small headache but was speaking to her when she was speaking to me about what I had called Alhasan because her mother was right now.
56,"I apologized to my brother-in-law on the other side of the road, and the issue is that the suspect is a young man who sells ninety or twenty yen, whose leg is as big as his arm and is bleeding. I am standing here, and there are a lot of people who don’t know about it, but they don’t know that I’m the one who’s the one who’s the one who’s the one who’s the one who’s the one who’s the one who’s the one who’s the one who’s the one who’s the one who’s the one who’s the one who’s the one who’s the one who’s the one who’s the one who’s the one who’s the one who’s the one who’s the one who’s the one who’s the one who’s the one who’s the one who’s the one who’s the one who’s the one who’s the one who’s the one who’s the one who’s the one who’s the one who’s the one who’s the one who’s the one who’s the one who’s the one who’s the one who’s the one who’s the one who’s the one who’s the one who’s the one who’s the one who’s the"
57,"I'm begging you, please, to come to my altar and to my family’s house this afternoon, when I heard the burning of the fire and the burning of the water and the burning of the bodies and the burning of the bodies, and the burning of the water on the part of the body, and the burning of the body, and the burning of the body, and the burning of the body, and the burning of the blood, and the burning of the blood, and the burning of the blood, and the burning of the blood, and the burning of the blood, and the burning of the blood, and the burning of the blood, and the burning of the blood, and the burning of the blood, and the burning of the blood, and the burning of the blood, and the burning of the blood, and the burning of the blood, and the burning of the blood, and the burning of the blood, and the burning of the blood, and the burning of the blood, and the burning of the blood, and the burning of the blood of the blood, and the burning of the blood, and the burning of the blood, and the burning of the blood, and the burning of the blood, and the burning of the blood, and the burning of the blood, and the burning of the blood, and the burning of the blood, and the burning of the"
63,"I’m sorry for everything that has happened here, and I’d like to talk about it, and I’m calling on a woman named naa, who was"
64,"I have no idea what my name is and what kind of work I do in the house, and none of the knives we used to cut his hand with just a small fire, but the fire from the fire is your name and is not just a little afraid, but I want to keep you talking about it so much."
65,"I'm sorry, because my sister has caught fire and I know that I’m very nervous and we’ll even have a kente on the way to the murder, and there’s something that’s happened to her and that’s where she caught her skin and neck and that’s where she’s the youngest child who’s born, and that’s how she’s feeling, but she’s the one who’s the one who’s the one who’s the one who’s the one who’s the one who’s the one who’s the one who’s the one who’s the one who’s the one who’s the one who’s the one who’s the one who’s the one who’s the one who’s the one who’s the one who’s the one who’s the one who’s the one who’s the one who’s the one who’s the one who’s the one who’s the one who’s the one who’s the one who’s the one who’s the one who’s the one who’s the one who’s the one who’s the one who’s the one who’s the one who’s the one who’s the one who’s the one who’s the one who’s the one who’s the one who’s the"
